gene index	a_n	m	resub	bresub
[389]	[-0.0172]	0.4949	0.4667	0.4282
[390]	[-0.0035]	0.2431	0.4667	0.4311
[391]	[0.0297]	-1.2990	0.2000	0.2656
[392]	[0.0437]	-1.5404	0.1333	0.2387
[393]	[-0.0434]	2.1889	0.2000	0.2382
[394]	[-0.0020]	0.2021	0.4667	0.4662
[395]	[-0.0137]	0.9244	0.3333	0.2909
[396]	[0.0330]	-0.3834	0.3333	0.3431
[397]	[0.0015]	-0.0052	0.4667	0.4735
[398]	[0.0097]	-4.1509	0.2000	0.1813
[399]	[0.0249]	-0.4173	0.3333	0.3430
[400]	[-0.0006]	0.2195	0.4667	0.4666
[401]	[-0.0076]	0.5162	0.3333	0.2580
[402]	[-0.0024]	0.2948	0.4000	0.4239
[403]	[0.0369]	-2.0111	0.2000	0.2854
[404]	[0.0294]	-0.9608	0.3333	0.2980
[405]	[-0.0062]	0.4668	0.3333	0.3660
[406]	[-0.0053]	0.7188	0.3333	0.3526
[407]	[0.0159]	-0.9132	0.3333	0.3623
[408]	[0.0016]	0.0824	0.4667	0.4666
[409]	[-0.0011]	0.1551	0.4667	0.4667
[410]	[-0.0074]	0.4927	0.4667	0.4160
[411]	[0.0352]	-1.1306	0.3333	0.3104
[412]	[0.0039]	-0.5883	0.2000	0.1832
[413]	[0.0003]	-0.3604	0.2667	0.2271
[414]	[0.1789]	-3.3257	0.1333	0.1592
[415]	[0.0047]	-0.2164	0.2000	0.2113
[416]	[0.0086]	-0.1283	0.4000	0.3426
[417]	[0.0188]	-0.8828	0.3333	0.3885
[418]	[-0.0149]	0.6378	0.4667	0.4091
[419]	[0.0246]	-0.7287	0.2667	0.3199
[420]	[0.0507]	-0.6425	0.2667	0.3150
[421]	[-0.0249]	1.0239	0.2667	0.2351
[422]	[-0.0008]	0.1458	0.4667	0.4667
[423]	[0.0029]	-0.3564	0.6000	0.5300
[424]	[0.0294]	-0.3001	0.4667	0.4140
[425]	[0.0070]	-0.1737	0.4000	0.4499
[426]	[0.0031]	0.0587	0.4667	0.4842
[427]	[0.0275]	-3.2855	0.1333	0.2451
[428]	[-0.0072]	0.3984	0.4000	0.4227
[429]	[0.0072]	-0.0264	0.3333	0.4136
[430]	[0.0099]	-3.4099	0.0667	0.1399
[431]	[-0.0017]	0.3174	0.4667	0.4717
[432]	[-0.0152]	0.7138	0.4000	0.3695
[433]	[0.0733]	-1.6695	0.2000	0.2780
[434]	[-0.0007]	0.1518	0.4667	0.4667
[435]	[0.0011]	0.1025	0.4667	0.4667
[436]	[0.0027]	-0.3728	0.4000	0.4263
[437]	[0.0064]	-0.4402	0.4000	0.3987
[438]	[0.0307]	-0.5024	0.3333	0.2907
[439]	[-0.0183]	0.6863	0.4000	0.3709
[440]	[0.0002]	-1.7007	0.4667	0.3753
[441]	[-0.0200]	1.0847	0.4667	0.4530
[442]	[-0.0002]	0.1527	0.4667	0.4675
[443]	[-0.0451]	2.5579	0.3333	0.3131
[444]	[0.0043]	-1.4867	0.3333	0.3692
[445]	[0.0299]	-4.5490	0.0667	0.0857
[446]	[-0.0255]	2.1056	0.2000	0.2194
[447]	[-0.0036]	0.3339	0.3333	0.3402
[448]	[0.1176]	-4.1312	0.0667	0.0908
[449]	[0.0062]	-1.9605	0.1333	0.1672
[450]	[-0.0068]	0.6554	0.4000	0.4087
[451]	[0.0067]	-0.6507	0.4000	0.3864
[452]	[0.0600]	-1.3338	0.2000	0.2324
[453]	[0.0049]	-1.2666	0.3333	0.3037
[454]	[0.0386]	-1.3687	0.1333	0.2530
[455]	[-0.0093]	0.9131	0.3333	0.3289
[456]	[0.0038]	-0.3700	0.3333	0.2467
[457]	[0.0080]	-0.0622	0.3333	0.4089
[458]	[0.0022]	-0.0948	0.2667	0.3524
[459]	[-0.0012]	0.2165	0.5333	0.5036
[460]	[0.0469]	-1.8328	0.2000	0.2421
[461]	[0.0143]	-0.1966	0.4000	0.3970
[462]	[-0.0232]	0.9844	0.3333	0.3500
[463]	[-0.0076]	0.5416	0.3333	0.3729
[464]	[-0.0026]	0.4669	0.4000	0.4348
