gene index	a_n	m	resub	bresub
[0]	[0.0018]	-3.1075	0.1333	0.2641
[1]	[-0.0089]	0.4786	0.4000	0.3809
[2]	[-0.0103]	2.6286	0.3333	0.3627
[3]	[-0.0449]	1.2794	0.3333	0.3698
[4]	[0.0168]	-1.1005	0.3333	0.3517
[5]	[0.0042]	-1.0159	0.2667	0.2973
[6]	[0.0047]	-0.0410	0.5333	0.5269
[7]	[-0.0027]	0.7033	0.4000	0.3956
[8]	[0.0300]	-1.6151	0.2667	0.2548
[9]	[0.0020]	-0.2109	0.5333	0.4839
[10]	[-0.0294]	0.5534	0.4667	0.4031
[11]	[0.0075]	-0.9800	0.4667	0.4553
[12]	[-0.0078]	0.9276	0.3333	0.3641
[13]	[0.0162]	-0.1033	0.5333	0.5186
[14]	[0.0255]	-0.3429	0.4000	0.3324
[15]	[0.0772]	-1.1417	0.2667	0.2826
[16]	[0.0074]	0.0221	0.4667	0.4296
[17]	[0.0251]	-1.2611	0.3333	0.3697
[18]	[0.0056]	-6.4964	0.1333	0.1645
[19]	[0.0229]	-0.7710	0.4000	0.3683
[20]	[0.0035]	-0.1516	0.5333	0.4865
[21]	[-0.0010]	0.1551	0.4667	0.4667
[22]	[-0.0271]	0.7345	0.3333	0.3351
[23]	[0.0187]	0.0641	0.4667	0.5413
[24]	[0.0221]	-1.5050	0.2000	0.2570
[25]	[0.0094]	-2.1959	0.3333	0.3358
[26]	[0.0023]	-0.2429	0.5333	0.5076
[27]	[0.0039]	-0.2984	0.6000	0.5239
[28]	[0.0039]	-0.1426	0.2667	0.3063
[29]	[0.0355]	-0.4721	0.4000	0.3829
[30]	[0.0112]	-0.1245	0.4000	0.3992
[31]	[-0.0161]	1.4043	0.3333	0.3223
[32]	[0.0002]	0.0673	0.4667	0.4669
[33]	[0.0760]	-1.2960	0.2000	0.1980
[34]	[0.0009]	0.1131	0.4667	0.4667
[35]	[0.0141]	-1.4571	0.3333	0.3341
[36]	[0.0096]	-0.1582	0.5333	0.4814
[37]	[-0.0069]	0.4667	0.3333	0.3255
[38]	[-0.0006]	0.1811	0.4667	0.4667
[39]	[0.0164]	-1.6565	0.2000	0.2373
[40]	[-0.0213]	0.4482	0.4667	0.4129
[41]	[0.0023]	0.0278	0.4667	0.4946
