gene index	a_n	m	resub	bresub
[117]	[0.0072]	-0.5167	0.3750	0.3914
[118]	[-0.0001]	0.2296	0.3750	0.4069
[119]	[0.0001]	-0.0082	0.5000	0.4757
[120]	[-0.0162]	1.2088	0.3750	0.3491
[121]	[-0.0105]	1.4770	0.2500	0.3240
[122]	[0.0171]	-0.5056	0.4375	0.4308
[123]	[-0.0106]	0.3858	0.5000	0.4006
[124]	[-0.0083]	1.4851	0.3750	0.4167
[125]	[-0.0036]	0.3943	0.4375	0.3957
[126]	[0.0037]	-0.1660	0.5000	0.4887
[127]	[0.0061]	-0.5530	0.3750	0.4270
[128]	[-0.0011]	0.0907	0.4375	0.4540
[129]	[0.0064]	-0.0947	0.5000	0.4829
[130]	[-0.0002]	0.0604	0.5000	0.4908
[131]	[-0.0003]	0.1492	0.5000	0.5190
[132]	[-0.0001]	0.0189	0.5625	0.5281
[133]	[0.0029]	-0.1706	0.4375	0.4527
[134]	[-0.0164]	0.4404	0.4375	0.4135
[135]	[-0.0025]	0.1093	0.4375	0.4388
[136]	[0.0097]	-1.6014	0.3750	0.3550
[137]	[-0.0007]	0.1750	0.5000	0.5084
[138]	[-0.0025]	0.1223	0.4375	0.4778
[139]	[-0.0028]	0.3353	0.5000	0.5015
[140]	[-0.0050]	0.2481	0.5000	0.3974
[141]	[-0.0035]	0.0649	0.5000	0.4971
[142]	[0.0125]	-0.2492	0.5625	0.5357
[143]	[0.0036]	-0.6680	0.4375	0.4750
[144]	[0.0037]	-0.7221	0.4375	0.4251
[145]	[-0.0193]	1.5147	0.3750	0.3459
[146]	[0.0134]	-0.3261	0.5000	0.4711
[147]	[-0.0030]	0.3841	0.4375	0.4131
[148]	[0.0048]	-0.0816	0.6875	0.6479
[149]	[-0.0007]	0.0462	0.5625	0.5633
[150]	[-0.0164]	3.4699	0.1875	0.2729
[151]	[-0.0154]	1.4868	0.3125	0.3113
[152]	[-0.0308]	0.9128	0.4375	0.3776
[153]	[-0.0156]	0.1170	0.4375	0.4270
[154]	[0.0192]	-2.5456	0.4375	0.3674
[155]	[0.0051]	-0.1935	0.4375	0.4720
[156]	[0.0002]	-0.0246	0.5625	0.5352
[157]	[0.0066]	-0.5141	0.3125	0.3729
[158]	[0.0066]	-0.2186	0.2500	0.4088
[159]	[0.0017]	-0.3266	0.3125	0.3875
[160]	[-0.0115]	2.0136	0.2500	0.2884
[161]	[-0.0091]	0.3576	0.4375	0.4134
[162]	[0.0022]	-0.1907	0.4375	0.4553
[163]	[0.0027]	-0.1259	0.5000	0.4807
[164]	[-0.0199]	1.7502	0.3125	0.3121
[165]	[-0.0015]	1.2721	0.5000	0.4475
[166]	[-0.0279]	2.1046	0.2500	0.3123
[167]	[0.0184]	-2.5634	0.3125	0.3226
[168]	[-0.0604]	1.0985	0.3750	0.3202
[169]	[0.0149]	-0.2830	0.5000	0.3823
[170]	[-0.0003]	0.1986	0.4375	0.3448
[171]	[-0.0010]	0.3370	0.4375	0.4861
[172]	[0.0037]	-0.5262	0.3750	0.4471
[173]	[0.0348]	-1.8949	0.3750	0.3083
[174]	[-0.0169]	1.4655	0.3125	0.3760
[175]	[0.0037]	-0.0873	0.5000	0.4734
[176]	[0.0066]	-0.1700	0.4375	0.4230
