gene index	a_n	m	resub	bresub
[117]	[0.0043]	-0.5543	0.4286	0.3667
[118]	[0.0022]	-1.4968	0.2143	0.1711
[119]	[-0.0093]	0.4058	0.4286	0.3886
[120]	[0.0288]	-2.5239	0.2143	0.2495
[121]	[0.0028]	-0.3941	0.4286	0.4387
[122]	[-0.0042]	0.1562	0.5000	0.4925
[123]	[0.0198]	-0.5915	0.3571	0.2786
[124]	[0.0080]	-1.0887	0.4286	0.3695
[125]	[-0.0071]	0.7415	0.5000	0.4077
[126]	[0.0193]	-0.8145	0.3571	0.3847
[127]	[0.0424]	-3.0635	0.2143	0.2657
[128]	[0.0152]	-0.5979	0.3571	0.2658
[129]	[0.0382]	-0.3295	0.3571	0.3206
[130]	[0.0085]	-2.4855	0.2857	0.2693
[131]	[0.0020]	-1.0838	0.4286	0.4204
[132]	[0.0026]	-0.6448	0.3571	0.3993
[133]	[-0.0012]	0.0381	0.3571	0.4404
[134]	[0.0034]	-0.1106	0.5000	0.5012
[135]	[-0.0132]	0.4363	0.3571	0.4368
[136]	[-0.0015]	0.4896	0.3571	0.2740
[137]	[0.0049]	-0.9490	0.2857	0.3596
[138]	[-0.0042]	0.2050	0.4286	0.4779
[139]	[0.0009]	-0.1098	0.5714	0.5334
[140]	[0.0069]	-0.2873	0.2857	0.2610
[141]	[0.0159]	-0.0990	0.3571	0.4372
[142]	[0.0270]	-0.9777	0.4286	0.4335
[143]	[0.0027]	-0.6033	0.4286	0.4546
[144]	[0.0041]	-0.9953	0.3571	0.3496
[145]	[0.0116]	-1.1236	0.3571	0.3723
[146]	[0.0458]	-0.9652	0.3571	0.3282
[147]	[0.0334]	-3.8037	0.0714	0.1082
[148]	[0.0018]	-0.0455	0.5714	0.5135
[149]	[0.0001]	-0.0045	0.6429	0.5238
[150]	[-0.0017]	0.2404	0.5000	0.4776
[151]	[-0.0037]	0.2907	0.5714	0.4839
[152]	[-0.0315]	1.5584	0.2857	0.2744
[153]	[0.0606]	-0.5226	0.3571	0.3806
[154]	[0.0065]	-0.7907	0.5000	0.4756
[155]	[-0.0067]	0.2043	0.5000	0.5149
[156]	[0.0248]	-2.1600	0.1429	0.1970
[157]	[0.0117]	-0.8123	0.4286	0.3661
[158]	[0.0217]	-0.9414	0.2857	0.3749
[159]	[0.0092]	-1.3320	0.3571	0.3026
[160]	[-0.0017]	0.4953	0.5714	0.4748
[161]	[0.0197]	-0.6328	0.2857	0.3409
[162]	[0.0186]	-1.3332	0.2857	0.3177
[163]	[0.0144]	-0.9116	0.4286	0.3852
[164]	[-0.0225]	1.3290	0.3571	0.3596
[165]	[0.0007]	-0.5897	0.3571	0.3861
[166]	[-0.0096]	0.8396	0.3571	0.4011
[167]	[0.0161]	-2.3909	0.3571	0.3177
[168]	[-0.0097]	0.2605	0.5000	0.4744
[169]	[-0.0130]	0.3061	0.5000	0.4768
[170]	[0.0007]	-0.2630	0.4286	0.4208
[171]	[0.0033]	-1.0198	0.3571	0.3700
[172]	[0.0171]	-1.8623	0.2857	0.3863
[173]	[0.0201]	-0.7976	0.4286	0.3953
[174]	[0.0165]	-1.4438	0.2857	0.2719
[175]	[-0.0697]	1.0821	0.2143	0.2739
[176]	[0.0365]	-0.2977	0.4286	0.4364
[177]	[-0.0230]	1.3574	0.2857	0.3163
[178]	[0.0130]	-0.8731	0.5000	0.4401
[179]	[0.0010]	-0.0794	0.4286	0.4670
[180]	[0.0309]	-1.2423	0.3571	0.3291
[181]	[-0.0447]	1.4049	0.2857	0.3691
[182]	[0.0069]	-2.7813	0.3571	0.2966
[183]	[0.0072]	-1.1779	0.3571	0.4160
[184]	[-0.0039]	0.0954	0.5000	0.5071
[185]	[-0.0094]	0.4092	0.5000	0.4742
[186]	[-0.0079]	0.9102	0.4286	0.3944
[187]	[0.0001]	-0.0775	0.3571	0.4612
[188]	[-0.0101]	0.4407	0.3571	0.3775
[189]	[0.0002]	-0.0144	0.4286	0.4689
[190]	[0.0817]	-0.4886	0.2857	0.2408
[191]	[0.0177]	-0.9880	0.3571	0.3563
[192]	[0.1810]	-0.7803	0.2857	0.2612
[193]	[-0.0174]	0.5165	0.5000	0.3951
[194]	[-0.0035]	0.1232	0.4286	0.4595
[195]	[-0.0018]	0.0888	0.4286	0.4888
[196]	[-0.0033]	0.1195	0.5000	0.4812
[197]	[0.0448]	-1.4293	0.2143	0.1933
[198]	[0.0067]	-0.6165	0.4286	0.4749
[199]	[-0.0076]	0.4553	0.3571	0.4070
