gene index	a_n	m	resub	bresub
[0]	[0.0021]	-3.4591	0.1739	0.1734
[1]	[-0.0021]	0.9247	0.3043	0.3043
[2]	[-0.0039]	1.7781	0.3478	0.3580
[3]	[-0.0068]	1.0426	0.3043	0.3043
[4]	[0.0238]	-1.2391	0.2174	0.2261
[5]	[0.0006]	0.6794	0.3043	0.3043
[6]	[-0.0006]	0.8478	0.3043	0.3043
[7]	[-0.0048]	1.7265	0.2609	0.2596
[8]	[0.0175]	-0.0779	0.3043	0.3154
[9]	[0.0031]	0.3353	0.3043	0.3044
[10]	[-0.0009]	0.8445	0.3043	0.3043
[11]	[0.0048]	0.1517	0.3043	0.2961
[12]	[-0.0004]	0.8817	0.3043	0.3043
[13]	[0.0228]	0.4185	0.3043	0.3044
[14]	[0.0254]	0.2967	0.3043	0.3347
[15]	[0.0367]	0.2724	0.3043	0.3065
[16]	[0.0179]	0.4070	0.3043	0.3051
[17]	[0.0175]	-0.0262	0.2609	0.2799
[18]	[0.0045]	-4.1922	0.1739	0.1690
[19]	[0.0199]	0.0346	0.3043	0.3044
[20]	[-0.0032]	1.0589	0.3043	0.3043
[21]	[0.0115]	0.5145	0.3043	0.3041
[22]	[-0.0168]	1.2741	0.2609	0.2648
[23]	[0.0144]	0.6145	0.3043	0.3058
[24]	[0.0077]	0.2327	0.3043	0.3292
[25]	[0.0078]	-1.0361	0.2609	0.2677
[26]	[-0.0015]	1.0636	0.3043	0.3043
[27]	[0.0003]	0.7944	0.3043	0.3043
[28]	[0.0017]	0.5825	0.3043	0.3072
[29]	[0.0224]	0.2015	0.3043	0.3133
[30]	[0.0134]	0.2334	0.3043	0.3172
[31]	[-0.0207]	2.4037	0.2609	0.2754
[32]	[-0.0003]	0.8991	0.3043	0.3043
[33]	[0.0406]	-0.0180	0.3043	0.2966
[34]	[0.0080]	0.5946	0.3043	0.3043
[35]	[0.0215]	-1.7025	0.2174	0.2377
[36]	[-0.0171]	1.2326	0.3043	0.3050
[37]	[-0.0045]	1.0863	0.2609	0.2752
[38]	[0.0129]	-0.3844	0.3478	0.3389
[39]	[0.0104]	-0.4737	0.1739	0.2002
[40]	[0.0265]	0.1730	0.3043	0.3117
[41]	[-0.0073]	1.1163	0.3043	0.3044
[42]	[0.0313]	-0.6304	0.1739	0.2193
[43]	[0.0441]	0.1865	0.3043	0.2510
[44]	[0.0022]	0.6056	0.3043	0.3043
[45]	[-0.0208]	1.5836	0.2174	0.2180
[46]	[-0.0009]	0.8806	0.3043	0.3043
[47]	[0.0077]	-0.1372	0.2174	0.2174
[48]	[0.0109]	-0.1388	0.2609	0.2634
[49]	[0.0177]	-0.8839	0.2174	0.2380
[50]	[-0.0088]	1.7389	0.2174	0.1996
[51]	[0.0070]	0.4760	0.3043	0.3043
[52]	[0.0239]	0.3559	0.3043	0.3044
[53]	[0.0255]	-0.7080	0.2609	0.2637
[54]	[0.0019]	0.4614	0.3043	0.3079
[55]	[-0.0139]	1.5101	0.2609	0.2548
[56]	[-0.0078]	1.1006	0.2609	0.2720
[57]	[0.0174]	0.4621	0.3043	0.3046
[58]	[0.0088]	0.4340	0.3043	0.3043
[59]	[0.0018]	0.7656	0.3043	0.3043
[60]	[0.0038]	0.1252	0.3043	0.3043
[61]	[0.0009]	0.2180	0.3043	0.3043
[62]	[-0.0249]	1.3521	0.2174	0.2222
[63]	[0.0008]	0.6538	0.3043	0.3044
[64]	[0.0037]	0.6908	0.3043	0.3043
[65]	[0.0644]	-0.1314	0.3043	0.3005
[66]	[-0.0038]	1.0297	0.3043	0.3045
[67]	[-0.0193]	1.9655	0.2174	0.1856
[68]	[0.0268]	0.3326	0.3043	0.2588
[69]	[0.0049]	0.4975	0.3043	0.3048
[70]	[0.0281]	0.2252	0.3043	0.2479
[71]	[-0.0037]	1.1858	0.3043	0.2996
[72]	[0.0005]	0.7838	0.3043	0.3043
[73]	[-0.0544]	2.8163	0.3043	0.2787
[74]	[0.0324]	-0.1250	0.1739	0.1964
[75]	[0.0168]	-0.2621	0.2174	0.2301
[76]	[0.0040]	0.6400	0.3043	0.3043
[77]	[0.0447]	-0.4779	0.2609	0.3008
[78]	[0.0129]	-0.0080	0.3043	0.3305
[79]	[0.0208]	0.3304	0.3043	0.3081
[80]	[0.0136]	0.1914	0.3043	0.3084
[81]	[0.0280]	-0.8121	0.2609	0.2625
[82]	[0.0060]	0.5336	0.3043	0.3043
[83]	[0.0007]	0.5710	0.3043	0.3043
[84]	[0.0168]	0.1150	0.3043	0.3000
[85]	[0.0144]	0.0218	0.3043	0.2581
[86]	[-0.0115]	1.4129	0.3478	0.3007
[87]	[0.0007]	0.7977	0.3043	0.3043
[88]	[0.0040]	0.2425	0.3043	0.2787
[89]	[0.0294]	-0.0503	0.2174	0.2690
[90]	[0.0017]	0.7992	0.3043	0.3043
[91]	[0.0041]	-0.2763	0.3478	0.3584
[92]	[0.0406]	0.2949	0.3043	0.3328
[93]	[0.0074]	0.5719	0.3043	0.3046
[94]	[-0.0387]	2.8749	0.2609	0.2027
[95]	[0.0034]	0.1922	0.3043	0.3054
[96]	[0.0203]	0.4050	0.3043	0.3043
[97]	[0.0114]	-1.1721	0.1304	0.1632
[98]	[0.0055]	0.2130	0.3043	0.3043
[99]	[-0.0082]	1.6037	0.1739	0.2139
[100]	[0.0007]	0.6039	0.3043	0.3043
[101]	[-0.0037]	0.9821	0.3043	0.3043
[102]	[-0.0049]	1.0163	0.3043	0.3041
[103]	[0.0041]	0.5350	0.3043	0.3043
[104]	[-0.0008]	0.8525	0.3043	0.3043
[105]	[-0.0103]	2.4076	0.2174	0.2203
[106]	[-0.0070]	1.4335	0.3478	0.3151
[107]	[0.0127]	0.2887	0.3043	0.3044
[108]	[-0.0040]	1.0951	0.3043	0.3043
[109]	[0.0246]	-1.2227	0.1739	0.1757
[110]	[0.0021]	0.7962	0.3043	0.3043
[111]	[0.0001]	0.8201	0.3043	0.3043
[112]	[-0.0007]	3.2855	0.1739	0.2054
[113]	[-0.0040]	0.8989	0.3043	0.3043
[114]	[0.0001]	0.8212	0.3043	0.3043
[115]	[0.0056]	0.4073	0.3043	0.3145
[116]	[-0.0046]	0.9230	0.3043	0.3043
[117]	[-0.0008]	0.8832	0.3043	0.3043
[118]	[0.0001]	0.5870	0.3043	0.3081
[119]	[0.0024]	0.6856	0.3043	0.3043
[120]	[0.0088]	0.2305	0.3043	0.3129
[121]	[0.0036]	0.3400	0.3043	0.3043
[122]	[-0.0180]	1.4024	0.2609	0.2536
[123]	[0.0357]	0.2996	0.3043	0.2788
[124]	[0.0091]	-0.5844	0.2174	0.2695
[125]	[-0.0071]	1.5648	0.2609	0.2737
[126]	[0.0141]	0.2578	0.3043	0.3013
[127]	[0.0151]	-0.7500	0.2174	0.2148
[128]	[0.0025]	0.6277	0.3043	0.3059
[129]	[0.0379]	0.4128	0.3043	0.3166
[130]	[0.0098]	-1.9149	0.2174	0.2225
[131]	[0.0030]	-0.7862	0.2174	0.2604
[132]	[0.0042]	-0.2481	0.3043	0.2934
[133]	[0.0212]	-0.2421	0.2609	0.2765
[134]	[-0.0082]	1.0611	0.3043	0.3043
[135]	[0.0008]	0.7958	0.3043	0.3043
[136]	[-0.0022]	1.5606	0.2174	0.2234
[137]	[0.0075]	-0.7992	0.2174	0.2367
[138]	[-0.0074]	1.1818	0.3043	0.3042
[139]	[-0.0069]	1.5010	0.3478	0.3324
[140]	[0.0206]	0.3887	0.3043	0.3043
[141]	[0.0133]	0.5295	0.3043	0.3090
[142]	[-0.0066]	0.9803	0.3043	0.3043
[143]	[-0.0034]	1.4950	0.3043	0.3018
[144]	[0.0018]	0.4782	0.3043	0.3043
[145]	[0.0001]	0.8171	0.3043	0.3043
[146]	[0.0237]	0.3584	0.3043	0.2984
[147]	[0.0034]	0.3459	0.3043	0.3201
[148]	[0.0066]	0.6521	0.3043	0.3043
[149]	[-0.0066]	1.2932	0.2609	0.2517
[150]	[0.0033]	0.2086	0.3043	0.3009
[151]	[-0.0004]	0.8655	0.3043	0.3043
[152]	[-0.0675]	3.7001	0.1304	0.1273
[153]	[0.0260]	0.5979	0.3043	0.3044
[154]	[0.0109]	-0.5482	0.2174	0.2545
[155]	[-0.0002]	0.8328	0.3043	0.3043
[156]	[0.0274]	-1.3847	0.1739	0.2131
[157]	[0.0064]	0.4305	0.3043	0.3042
[158]	[0.0084]	0.4912	0.3043	0.3043
[159]	[0.0135]	-1.3466	0.1739	0.1947
[160]	[-0.0054]	2.1551	0.2174	0.1995
[161]	[0.0163]	0.1884	0.3043	0.2922
[162]	[0.0272]	-1.2181	0.2609	0.2532
[163]	[0.0016]	0.7454	0.3043	0.3043
[164]	[-0.0050]	1.1824	0.3043	0.3028
[165]	[0.0001]	0.7629	0.3043	0.3043
[166]	[-0.0172]	2.3038	0.1739	0.1821
[167]	[0.0123]	-0.9113	0.3043	0.2931
[168]	[-0.0130]	1.1624	0.2609	0.2653
[169]	[-0.0005]	0.8404	0.3043	0.3043
[170]	[-0.0000]	0.8277	0.3043	0.3043
[171]	[0.0007]	0.6456	0.3043	0.3043
[172]	[0.0254]	-2.0942	0.2609	0.2369
[173]	[0.0297]	-0.5038	0.2609	0.2338
[174]	[0.0143]	-0.2333	0.3478	0.3232
[175]	[0.0062]	0.6804	0.3043	0.3043
[176]	[0.0040]	0.6216	0.3043	0.3058
[177]	[-0.0413]	3.1401	0.2174	0.1992
[178]	[0.0253]	-0.7706	0.2609	0.2423
[179]	[-0.0012]	0.9124	0.3043	0.3043
[180]	[0.0108]	0.5096	0.3043	0.3043
[181]	[-0.0254]	1.7239	0.2609	0.2754
[182]	[0.0081]	-2.2471	0.2609	0.2551
[183]	[-0.0015]	1.0383	0.3043	0.3043
[184]	[0.0140]	0.3617	0.3043	0.2975
[185]	[-0.0272]	1.8330	0.2609	0.2735
[186]	[-0.0214]	3.0654	0.2174	0.2116
[187]	[-0.0000]	0.8414	0.3043	0.3043
[188]	[-0.0128]	1.4259	0.3043	0.2963
[189]	[-0.0013]	0.9119	0.3043	0.3043
[190]	[0.0071]	0.5428	0.3043	0.3043
[191]	[0.0238]	-0.7526	0.2174	0.2120
[192]	[0.0147]	0.5185	0.3043	0.3172
[193]	[-0.0037]	0.9613	0.3043	0.3043
[194]	[-0.0463]	2.0513	0.2174	0.2006
[195]	[-0.0354]	2.3265	0.3478	0.3213
[196]	[-0.0245]	1.5497	0.2609	0.2353
[197]	[0.0501]	-0.9393	0.0870	0.1019
[198]	[0.0123]	-0.4247	0.3043	0.3090
[199]	[-0.0082]	1.3186	0.3043	0.3016
[200]	[0.0150]	0.6529	0.3043	0.3044
[201]	[0.0076]	-0.9413	0.2609	0.2532
[202]	[0.0027]	0.5787	0.3043	0.3044
[203]	[0.0017]	0.7404	0.3043	0.3043
[204]	[0.0114]	-0.7776	0.1304	0.1666
[205]	[0.0053]	0.7191	0.3043	0.3044
[206]	[-0.0061]	1.4321	0.2609	0.2185
[207]	[0.0107]	0.5188	0.3043	0.3043
