gene index	a_n	m	resub	bresub
[217,388]	[0.0110  0.0045]	-1.3569	0.2581	0.2447
[218,255]	[0.0028  0.0169]	-1.1362	0.2903	0.2375
[227,255]	[0.0337  0.0299]	-3.6912	0.1935	0.2334
[230,255]	[0.0126  0.0154]	-1.2899	0.2581	0.2265
[230,297]	[0.0168  0.0111]	-2.4729	0.2581	0.2423
[230,353]	[0.0139  0.0445]	-2.2030	0.1935	0.2454
[230,388]	[0.0111  0.0029]	-0.8685	0.2258	0.2326
[230,399]	[0.0116  0.0234]	-0.9466	0.2258	0.2382
[235,364]	[0.0186  0.0162]	-3.7042	0.1935	0.2423
[247,283]	[-0.0334  -0.0220]	1.4650	0.2258	0.2372
[247,347]	[-0.0475  -0.0232]	2.7362	0.1935	0.2411
[247,386]	[-0.0528  -0.0248]	3.1383	0.1613	0.2277
[247,406]	[-0.0577  -0.0158]	3.6207	0.2258	0.2372
[247,409]	[-0.0274  -0.0471]	2.4016	0.2258	0.2368
[248,353]	[0.0285  0.0505]	-2.4417	0.1935	0.2273
[248,388]	[0.0292  0.0053]	-1.3601	0.2258	0.2423
[255,276]	[0.0201  0.0047]	-1.1185	0.2903	0.2394
[255,286]	[0.0143  0.0191]	-0.9220	0.2258	0.2388
[255,295]	[0.0218  0.0517]	-2.1937	0.1290	0.2062
[255,308]	[0.0221  0.0093]	-1.4102	0.2258	0.2185
[255,316]	[0.0177  0.0067]	-1.0083	0.2903	0.2361
[255,354]	[0.0189  0.0034]	-1.0941	0.2581	0.2264
[255,378]	[0.0192  0.0040]	-1.0263	0.2258	0.2156
[255,384]	[0.0202  0.0061]	-1.2927	0.2258	0.2214
[255,399]	[0.0161  0.0289]	-1.1176	0.2581	0.2408
[255,404]	[0.0219  0.0203]	-1.6064	0.2258	0.2240
[255,420]	[0.0219  0.0559]	-1.8946	0.2258	0.2224
[255,449]	[0.0244  0.0057]	-2.9405	0.2258	0.2267
[275,297]	[-0.0148  0.0151]	-1.4597	0.0968	0.2065
[275,409]	[-0.0145  -0.0721]	3.0594	0.2581	0.2457
[297,386]	[0.0091  -0.0146]	-0.4115	0.1613	0.2479
[299,395]	[-0.0323  -0.0181]	2.2163	0.2258	0.2455
[305,364]	[0.0193  0.0159]	-3.1991	0.1613	0.2249
[316,322]	[0.0057  0.0023]	-0.4055	0.2581	0.2466
[317,395]	[-0.0134  -0.0209]	3.4526	0.1935	0.2481
[324,364]	[0.0151  0.0242]	-4.7588	0.1613	0.2417
[353,399]	[0.0449  0.0308]	-1.9698	0.2258	0.2282
[353,404]	[0.0422  0.0114]	-1.7730	0.1613	0.2433
[353,420]	[0.0471  0.0408]	-2.2698	0.1613	0.2167
[353,438]	[0.0479  0.0322]	-2.0503	0.1935	0.2285
[353,448]	[0.0416  0.0237]	-2.3197	0.2258	0.2331
[364,438]	[0.0175  0.0482]	-2.6324	0.1935	0.2387
[364,448]	[0.0130  0.0303]	-2.6327	0.1613	0.2312
[386,431]	[-0.0182  0.0156]	-0.4368	0.1935	0.2411
[386,448]	[-0.0127  0.0215]	-0.0579	0.1613	0.2414
[395,409]	[-0.0180  -0.0573]	2.5965	0.1935	0.2263
[409,418]	[-0.0585  -0.0391]	3.4041	0.2581	0.2380
[409,438]	[-0.0585  0.0386]	1.3629	0.2903	0.2395
[409,448]	[-0.0619  0.0379]	0.4994	0.1935	0.2402
