gene index	a_n	m	resub	bresub
[2,91,204,292]	[-0.0600  0.1002  0.0523  -0.0080]	-20.8341	0.0000	0.0485
[2,91,204,294]	[-0.0634  0.0992  0.0532  -0.0053]	-19.9760	0.0000	0.0481
[2,91,204,298]	[-0.0641  0.0982  0.0537  -0.0216]	-19.1946	0.0000	0.0475
[2,91,204,302]	[-0.0697  0.0945  0.0594  -0.0414]	-16.7876	0.0000	0.0499
[2,91,204,322]	[-0.1175  0.1609  0.0974  -0.1070]	-23.3819	0.0000	0.0456
[2,91,204,323]	[-0.0607  0.0982  0.0540  -0.0291]	-19.9650	0.0000	0.0477
[2,91,204,327]	[-0.0595  0.0978  0.0550  -0.0158]	-19.5995	0.0000	0.0479
[2,91,204,331]	[-0.0610  0.0982  0.0537  0.0263]	-20.9238	0.0000	0.0430
[2,91,204,334]	[-0.0664  0.1034  0.0550  0.0436]	-21.9509	0.0000	0.0485
[2,91,204,344]	[-0.0621  0.0968  0.0553  -0.0232]	-19.4846	0.0000	0.0475
[2,91,204,349]	[-0.0682  0.0936  0.0464  0.0409]	-19.6353	0.0000	0.0480
[2,91,204,357]	[-0.0570  0.1038  0.0544  -0.0323]	-22.1457	0.0000	0.0490
[2,91,204,359]	[-0.0624  0.0992  0.0539  -0.0258]	-20.0410	0.0000	0.0439
[2,91,204,391]	[-0.0607  0.0985  0.0571  0.0384]	-22.6577	0.0000	0.0487
[2,91,204,393]	[-0.0620  0.1002  0.0523  -0.0100]	-20.0382	0.0000	0.0499
[2,91,204,396]	[-0.0616  0.0993  0.0525  0.0088]	-20.6448	0.0000	0.0483
[2,91,204,407]	[-0.0635  0.0992  0.0522  0.0044]	-20.2383	0.0000	0.0480
[2,91,204,422]	[-0.0639  0.1001  0.0528  -0.0170]	-19.9276	0.0000	0.0462
[2,91,204,443]	[-0.0622  0.0999  0.0524  0.0021]	-20.6535	0.0000	0.0489
[2,91,204,457]	[-0.0636  0.0998  0.0529  0.0163]	-20.5476	0.0000	0.0484
[2,91,214,296]	[-0.0810  0.1161  -0.0064  0.0272]	-20.9489	0.0000	0.0441
[2,91,219,296]	[-0.0884  0.1149  0.0218  0.0269]	-20.0622	0.0000	0.0480
[2,91,227,296]	[-0.0948  0.1076  0.0556  0.0266]	-17.6961	0.0000	0.0490
[2,91,228,296]	[-0.0783  0.1268  -0.0605  0.0293]	-22.7478	0.0000	0.0469
[2,91,230,296]	[-0.0844  0.1117  -0.0340  0.0275]	-17.7573	0.0000	0.0472
[2,91,231,296]	[-0.0829  0.1160  0.0091  0.0267]	-20.8309	0.0000	0.0498
[2,91,238,296]	[-0.0806  0.1181  -0.0328  0.0273]	-20.3165	0.0000	0.0489
[2,91,253,296]	[-0.0845  0.1152  0.0280  0.0272]	-20.8376	0.0000	0.0484
[2,91,263,296]	[-0.0859  0.1118  -0.0341  0.0272]	-17.7097	0.0000	0.0437
[2,91,266,296]	[-0.0790  0.1238  -0.0478  0.0284]	-23.6351	0.0000	0.0476
