gene index	a_n	m	resub	bresub
[117]	[-0.0018]	0.0963	0.5000	0.4962
[118]	[0.0001]	-0.4842	0.3750	0.3166
[119]	[-0.0048]	0.2951	0.4375	0.3916
[120]	[0.0041]	-0.4567	0.4375	0.4530
[121]	[0.0014]	-0.2382	0.5000	0.5377
[122]	[-0.0294]	0.5637	0.2500	0.3251
[123]	[-0.0115]	0.4073	0.4375	0.3583
[124]	[0.0044]	-1.0032	0.5000	0.4062
[125]	[-0.0036]	0.4122	0.5000	0.4570
[126]	[0.0112]	-0.5362	0.3125	0.4100
[127]	[0.0220]	-3.4948	0.1250	0.1647
[128]	[0.0019]	-0.3040	0.4375	0.3870
[129]	[0.0144]	-0.2672	0.5000	0.4449
[130]	[0.0033]	-1.1942	0.3750	0.3998
[131]	[0.0017]	-1.0755	0.3750	0.4073
[132]	[0.0029]	-0.8344	0.3125	0.3840
[133]	[0.0084]	-0.5523	0.4375	0.4145
[134]	[-0.0010]	0.0346	0.5000	0.4998
[135]	[-0.0131]	0.5104	0.3750	0.4165
[136]	[0.0049]	-0.8155	0.4375	0.3936
[137]	[0.0018]	-0.5335	0.3750	0.4415
[138]	[-0.0102]	0.4665	0.5000	0.4750
[139]	[-0.0263]	2.3990	0.1875	0.1930
[140]	[-0.0050]	0.2453	0.5000	0.3979
[141]	[0.0126]	-0.5100	0.3750	0.3505
[142]	[0.0059]	-0.1018	0.6250	0.5912
[143]	[-0.0009]	0.1566	0.5625	0.5223
[144]	[0.0030]	-0.5826	0.5000	0.4603
[145]	[-0.0051]	0.4822	0.4375	0.4473
[146]	[0.0135]	-0.3066	0.4375	0.4435
[147]	[0.0032]	-0.8513	0.3125	0.3137
[148]	[0.0597]	-1.6475	0.1875	0.2784
[149]	[-0.0070]	0.3964	0.5000	0.4484
[150]	[0.0013]	-0.3511	0.3750	0.4631
[151]	[-0.0064]	0.7559	0.5000	0.4403
[152]	[-0.0561]	1.4398	0.1875	0.2295
[153]	[0.0207]	-0.3046	0.3125	0.3659
[154]	[0.0057]	-0.7261	0.4375	0.4302
[155]	[-0.0200]	0.5963	0.3125	0.3929
[156]	[0.0066]	-0.7728	0.5000	0.4648
[157]	[-0.0014]	0.0814	0.6250	0.5348
[158]	[0.0145]	-0.6188	0.3750	0.3494
[159]	[0.0047]	-1.1139	0.3125	0.3450
[160]	[-0.0081]	1.6375	0.3750	0.3446
[161]	[0.0167]	-1.0286	0.3125	0.3348
[162]	[0.0339]	-3.5026	0.1875	0.2463
