gene index	a_n	m	resub	bresub
[118]	[0.0001]	-0.1067	0.5333	0.5034
[119]	[0.0050]	-0.1685	0.4667	0.3964
[120]	[-0.0047]	0.6650	0.5333	0.4858
[121]	[0.0003]	0.0909	0.4667	0.4667
[122]	[-0.0129]	0.5137	0.4000	0.4244
[123]	[-0.0007]	0.1680	0.4667	0.4728
[124]	[0.0039]	-0.5882	0.4000	0.3897
[125]	[0.0038]	-0.2931	0.4667	0.5025
[126]	[-0.0113]	0.6823	0.4000	0.4059
[127]	[-0.0087]	0.9362	0.3333	0.3367
[128]	[0.0014]	0.0240	0.4667	0.4984
[129]	[-0.0019]	0.1610	0.4667	0.4604
[130]	[-0.0025]	1.0313	0.2667	0.3816
[131]	[-0.0005]	0.4522	0.4667	0.4162
[132]	[-0.0008]	0.3576	0.4667	0.4452
[133]	[0.0147]	-0.5092	0.3333	0.3613
[134]	[0.0013]	0.0905	0.4667	0.4667
[135]	[0.0145]	-0.4112	0.4667	0.4780
[136]	[-0.0167]	2.8283	0.3333	0.3109
[137]	[0.0011]	-0.1424	0.4000	0.4710
[138]	[0.0045]	-0.0822	0.5333	0.5136
[139]	[0.0009]	0.0173	0.4667	0.4305
[140]	[0.0002]	0.1230	0.4667	0.4667
[141]	[0.0321]	-0.2933	0.4667	0.4052
[142]	[-0.0538]	1.8339	0.2000	0.1782
[143]	[-0.0045]	1.0829	0.5333	0.4233
[144]	[-0.0064]	1.6684	0.2667	0.3056
[145]	[-0.0059]	0.7918	0.4000	0.4197
[146]	[-0.0323]	0.9371	0.4667	0.4035
[147]	[-0.0027]	0.5981	0.4000	0.4120
[148]	[-0.0165]	0.4760	0.4000	0.3878
[149]	[-0.0010]	0.2128	0.4667	0.4532
[150]	[0.0213]	-4.0929	0.2000	0.2218
[151]	[0.0169]	-1.5190	0.4000	0.3451
[152]	[0.0163]	-0.4304	0.4000	0.4556
[153]	[-0.0101]	0.2440	0.4000	0.4256
[154]	[-0.0060]	0.8892	0.4667	0.4417
[155]	[0.0105]	-0.2009	0.4667	0.4493
[156]	[-0.0048]	0.6986	0.4000	0.4343
[157]	[-0.0101]	0.9022	0.3333	0.3500
[158]	[-0.0215]	1.0215	0.2667	0.2950
[159]	[-0.0015]	0.4252	0.4000	0.4034
[160]	[0.0002]	0.0791	0.4667	0.4667
[161]	[0.0023]	0.0318	0.4667	0.4592
[162]	[-0.0054]	0.6217	0.4000	0.3975
[163]	[-0.0142]	1.0042	0.4000	0.3873
[164]	[0.0283]	-2.1166	0.2000	0.2068
[165]	[0.0004]	-0.2101	0.4000	0.4258
[166]	[0.0125]	-0.8424	0.3333	0.3923
[167]	[-0.0153]	2.4142	0.4000	0.3253
[168]	[0.0150]	-0.2440	0.6000	0.5005
[169]	[-0.0269]	0.5158	0.4000	0.3914
[170]	[0.0002]	-0.0267	0.5333	0.5319
[171]	[-0.0003]	0.2290	0.4667	0.4637
[172]	[0.0002]	0.1060	0.4667	0.4667
[173]	[-0.0154]	0.8000	0.4000	0.3856
[174]	[-0.0033]	0.5179	0.5333	0.4634
[175]	[0.0232]	-0.2250	0.4000	0.3551
[176]	[0.0142]	-0.0781	0.5333	0.4757
[177]	[0.0232]	-1.1700	0.2667	0.3029
[178]	[0.0030]	-0.1247	0.4000	0.4101
[179]	[0.0014]	0.0047	0.4667	0.4492
[180]	[-0.0220]	1.0700	0.4000	0.3421
[181]	[0.0284]	-0.7869	0.4000	0.4021
[182]	[-0.0020]	1.1018	0.4667	0.4195
[183]	[-0.0155]	2.5294	0.3333	0.3167
[184]	[0.0050]	0.0130	0.4667	0.4661
[185]	[-0.0092]	0.4812	0.4000	0.4040
[186]	[0.0037]	-0.2322	0.4000	0.3912
[187]	[0.0001]	-0.0123	0.4000	0.5682
[188]	[-0.0039]	0.2377	0.5333	0.4913
[189]	[-0.0170]	1.1128	0.3333	0.3865
[190]	[0.0123]	-0.1739	0.4667	0.4000
[191]	[-0.0083]	0.6620	0.4667	0.4571
[192]	[0.0113]	-0.0060	0.6667	0.5455
[193]	[0.0170]	-0.2854	0.4000	0.4663
[194]	[0.0101]	-0.2544	0.3333	0.4014
[195]	[0.0047]	-0.1132	0.3333	0.3930
[196]	[-0.0232]	0.7619	0.4000	0.3896
[197]	[-0.0071]	0.4520	0.3333	0.4046
[198]	[0.0056]	-0.5156	0.4000	0.3959
[199]	[-0.0068]	0.4399	0.5333	0.4918
[200]	[-0.0042]	0.1683	0.4000	0.4219
[201]	[-0.0016]	0.6422	0.4667	0.4745
[202]	[0.0028]	-0.1306	0.6000	0.5286
[203]	[0.0020]	0.0147	0.4667	0.4139
[204]	[0.0003]	0.0678	0.4667	0.4663
[205]	[-0.1425]	0.4809	0.3333	0.2844
[206]	[-0.0553]	1.1418	0.2667	0.2695
[207]	[-0.0160]	1.0376	0.3333	0.3364
[208]	[-0.0001]	0.1354	0.4667	0.4667
[209]	[-0.0048]	1.7911	0.3333	0.3283
[210]	[-0.0261]	1.9216	0.4000	0.3366
[211]	[0.0118]	-0.3771	0.4000	0.4415
[212]	[0.0008]	-0.2094	0.6667	0.5702
[213]	[0.0005]	-0.0718	0.5333	0.5079
[214]	[0.0037]	0.0462	0.4667	0.5937
[215]	[0.0233]	-0.8843	0.3333	0.3307
[216]	[-0.0147]	0.8355	0.2667	0.3181
[217]	[-0.0056]	0.4213	0.4000	0.3781
[218]	[0.0049]	-0.2430	0.2000	0.3426
[219]	[-0.0213]	1.5375	0.3333	0.3949
[220]	[-0.0031]	0.3277	0.5333	0.5266
[221]	[0.0057]	-0.1584	0.5333	0.5555
[222]	[-0.0021]	0.4544	0.4000	0.2825
[223]	[0.0032]	-0.2725	0.4667	0.4557
[224]	[-0.0160]	0.7856	0.4000	0.4096
[225]	[0.0539]	-0.7387	0.2667	0.2851
[226]	[-0.0142]	0.6385	0.4667	0.4283
[227]	[0.0110]	-0.5579	0.4000	0.4405
[228]	[-0.0319]	1.8386	0.2000	0.2783
[229]	[-0.0001]	0.1412	0.4667	0.4667
[230]	[0.0166]	-0.2893	0.4667	0.4102
[231]	[0.0087]	-0.2053	0.4000	0.4158
[232]	[-0.0024]	0.2166	0.4667	0.4667
[233]	[0.0097]	-2.2740	0.3333	0.3176
