gene index	a_n	m	resub	bresub
[117]	[-0.0120]	0.8314	0.3750	0.3773
[118]	[0.0001]	-0.5504	0.3750	0.2854
[119]	[-0.0141]	0.8706	0.2500	0.3099
[120]	[0.0208]	-1.7568	0.3125	0.3165
[121]	[0.0094]	-1.3682	0.3125	0.3761
[122]	[-0.0464]	1.1102	0.1875	0.2443
[123]	[-0.0033]	0.0741	0.5000	0.4804
[124]	[0.0072]	-1.4829	0.4375	0.3674
[125]	[0.0014]	-0.1126	0.3750	0.4503
[126]	[0.0031]	-0.1561	0.3750	0.4276
[127]	[0.0187]	-3.1602	0.1250	0.1843
[128]	[0.0021]	-0.3159	0.3750	0.3409
[129]	[0.0114]	-0.2206	0.5625	0.4814
[130]	[0.0053]	-1.9066	0.3750	0.3858
[131]	[0.0014]	-0.8922	0.3750	0.4016
[132]	[0.0043]	-1.2566	0.3750	0.3880
[133]	[0.0070]	-0.4793	0.5000	0.4451
[134]	[0.0258]	-0.6807	0.3750	0.3711
[135]	[-0.0079]	0.2917	0.5000	0.4905
[136]	[0.0002]	-0.0418	0.5000	0.4979
[137]	[0.0033]	-0.9317	0.3750	0.4455
[138]	[-0.0134]	0.5978	0.5625	0.4854
[139]	[-0.0118]	0.9539	0.1875	0.2267
[140]	[-0.0008]	0.0231	0.4375	0.4381
[141]	[0.0136]	-0.5362	0.3125	0.3114
[142]	[-0.0071]	0.1494	0.5000	0.4541
[143]	[-0.0049]	0.8925	0.5000	0.4908
[144]	[-0.0007]	0.1474	0.3750	0.4558
[145]	[0.0112]	-0.7987	0.4375	0.4083
[146]	[-0.0043]	0.1137	0.5625	0.5420
[147]	[0.0041]	-1.0070	0.3125	0.2750
[148]	[0.0330]	-0.9455	0.2500	0.2983
[149]	[-0.0169]	0.9351	0.3750	0.3834
[150]	[0.0052]	-1.2012	0.2500	0.2715
[151]	[0.0126]	-1.0777	0.3750	0.3438
[152]	[-0.0401]	0.6197	0.3750	0.3994
[153]	[0.0392]	-0.5019	0.3750	0.3612
[154]	[-0.0045]	0.6279	0.5000	0.4777
[155]	[-0.0196]	0.6333	0.3125	0.3753
[156]	[0.0059]	-0.6859	0.4375	0.4417
[157]	[-0.0073]	0.5626	0.3750	0.4117
[158]	[0.0108]	-0.4997	0.3750	0.4136
[159]	[0.0053]	-1.3309	0.3125	0.3931
[160]	[0.0074]	-1.0226	0.3125	0.3151
[161]	[0.0201]	-1.1331	0.2500	0.2743
[162]	[0.0123]	-1.3101	0.3125	0.3372
[163]	[0.0027]	-0.1370	0.5000	0.4766
[164]	[0.0093]	-0.6200	0.4375	0.4619
