gene index	a_n	m	resub	bresub
[119]	[0.0010]	0.7022	0.3182	0.3182
[120]	[0.0191]	-0.8079	0.2273	0.2748
[121]	[0.0039]	0.2125	0.3182	0.3183
[122]	[-0.0105]	1.1275	0.2727	0.2828
[123]	[0.0150]	0.3252	0.3182	0.3179
[124]	[0.0127]	-1.0660	0.2727	0.2731
[125]	[-0.0010]	0.8855	0.3182	0.3182
[126]	[0.0175]	0.0801	0.3182	0.2936
[127]	[0.0241]	-0.8308	0.2273	0.2531
[128]	[0.0095]	0.3493	0.3182	0.3321
[129]	[0.0415]	0.4123	0.3182	0.3247
[130]	[0.0069]	-1.1248	0.3182	0.2685
[131]	[0.0023]	-0.4552	0.3182	0.3055
[132]	[0.0020]	0.2740	0.3182	0.3182
[133]	[0.0075]	0.4694	0.3182	0.3182
[134]	[0.0035]	0.6474	0.3182	0.3182
[135]	[0.0024]	0.6738	0.3182	0.3182
[136]	[-0.0028]	1.6254	0.2273	0.2149
[137]	[0.0048]	-0.2083	0.3182	0.3002
[138]	[-0.0028]	0.9022	0.3182	0.3182
[139]	[0.0017]	0.5585	0.3182	0.3182
[140]	[0.0053]	0.5387	0.3182	0.3182
[141]	[0.0267]	0.5107	0.3182	0.3166
[142]	[0.0072]	0.5611	0.3182	0.3182
[143]	[0.0002]	0.7221	0.3182	0.3182
[144]	[0.0022]	0.3044	0.3182	0.3172
[145]	[0.0111]	-0.2519	0.2273	0.2548
[146]	[0.0399]	0.0143	0.3182	0.2707
[147]	[0.0128]	-0.5627	0.1818	0.2002
[148]	[-0.0057]	0.8899	0.3182	0.3182
[149]	[-0.0005]	0.8059	0.3182	0.3182
[150]	[0.0048]	-0.0877	0.3182	0.2772
[151]	[0.0022]	0.5530	0.3182	0.3182
[152]	[-0.0308]	2.3733	0.2273	0.2260
[153]	[0.0279]	0.5434	0.3182	0.3182
[154]	[0.0052]	0.1517	0.3182	0.3173
[155]	[-0.0003]	0.7706	0.3182	0.3182
[156]	[0.0201]	-0.8594	0.2273	0.2741
[157]	[0.0088]	0.2239	0.3182	0.3014
[158]	[0.0066]	0.5184	0.3182	0.3182
[159]	[0.0069]	-0.1673	0.2273	0.2602
[160]	[-0.0025]	1.5007	0.2273	0.2372
[161]	[0.0224]	0.0290	0.3182	0.2870
[162]	[0.0206]	-0.6236	0.2727	0.2443
[163]	[0.0060]	0.4348	0.3182	0.3182
[164]	[0.0018]	0.6213	0.3182	0.3182
[165]	[0.0011]	-0.1471	0.3636	0.3240
[166]	[-0.0092]	1.6223	0.2273	0.2252
[167]	[0.0071]	-0.1249	0.3636	0.3283
[168]	[-0.0086]	1.0042	0.3182	0.3005
[169]	[-0.0297]	1.3807	0.3182	0.3066
[170]	[0.0002]	0.6337	0.3182	0.3182
[171]	[0.0025]	-0.0107	0.3182	0.3093
[172]	[0.0172]	-1.1165	0.2273	0.2622
[173]	[0.0146]	0.2591	0.3182	0.3143
[174]	[0.0162]	-0.5806	0.2727	0.2845
[175]	[-0.0143]	1.0339	0.3636	0.3620
[176]	[0.0186]	0.5624	0.3182	0.3182
[177]	[-0.0126]	1.6169	0.2727	0.2706
[178]	[0.0141]	-0.2254	0.3182	0.3245
[179]	[0.0018]	0.6075	0.3182	0.3182
[180]	[0.0139]	0.2979	0.3182	0.3182
[181]	[-0.0113]	1.1729	0.3182	0.3182
[182]	[0.0063]	-1.6378	0.2727	0.2512
[183]	[0.0023]	0.4266	0.3182	0.3182
[184]	[-0.0023]	0.8200	0.3182	0.3182
[185]	[-0.0151]	1.3951	0.3182	0.3108
[186]	[-0.0095]	1.8928	0.2727	0.2581
[187]	[0.0001]	0.6476	0.3182	0.3182
[188]	[-0.0155]	1.4128	0.3182	0.2952
[189]	[-0.0077]	1.2429	0.3182	0.3142
[190]	[0.0171]	0.5401	0.3182	0.3268
[191]	[0.0143]	0.0090	0.3182	0.2842
[192]	[0.0291]	0.5797	0.3182	0.3206
[193]	[-0.0181]	1.3262	0.2727	0.2630
[194]	[0.0013]	0.7134	0.3182	0.3182
[195]	[0.0014]	0.6900	0.3182	0.3182
[196]	[-0.0127]	1.1726	0.2727	0.2788
[197]	[0.0261]	0.0183	0.3182	0.3621
[198]	[0.0089]	-0.1301	0.3636	0.3237
[199]	[-0.0119]	1.4506	0.2727	0.2618
[200]	[0.0380]	0.5571	0.3182	0.3182
[201]	[0.0091]	-1.3573	0.1818	0.2316
[202]	[0.0045]	0.4131	0.3182	0.3155
[203]	[0.0079]	0.3327	0.3182	0.3176
[204]	[0.0119]	-0.7561	0.1364	0.1785
[205]	[0.0853]	0.6651	0.3182	0.3182
[206]	[-0.0066]	1.3696	0.2727	0.2176
[207]	[0.0128]	0.2725	0.3182	0.3200
[208]	[0.0058]	0.6338	0.3182	0.3182
[209]	[0.0060]	-0.8497	0.2273	0.2402
[210]	[0.0217]	-0.4262	0.2727	0.2685
[211]	[0.0073]	0.4878	0.3182	0.3182
[212]	[0.0005]	0.5478	0.3182	0.3182
[213]	[0.0013]	0.4816	0.3182	0.3286
[214]	[0.0167]	0.5350	0.3182	0.3201
[215]	[-0.0081]	1.1709	0.3182	0.3115
[216]	[-0.0076]	1.2006	0.2727	0.2714
[217]	[0.0682]	-1.3861	0.1364	0.1484
[218]	[-0.0049]	1.1945	0.2727	0.2791
[219]	[0.0064]	0.3649	0.3182	0.3182
[220]	[0.0109]	0.1329	0.3182	0.3182
[221]	[-0.0071]	1.1875	0.3636	0.3584
[222]	[-0.0006]	0.8696	0.3182	0.3195
[223]	[0.0062]	0.2851	0.3182	0.3415
[224]	[-0.0092]	1.2085	0.2727	0.2713
[225]	[-0.0035]	0.8239	0.3182	0.3182
[226]	[0.0505]	-0.2119	0.2273	0.2393
[227]	[0.0355]	-0.7839	0.1364	0.1571
[228]	[0.0009]	0.7165	0.3182	0.3182
[229]	[-0.0047]	1.1544	0.2727	0.2832
[230]	[-0.0435]	2.3200	0.2727	0.2680
[231]	[-0.0016]	0.8261	0.3182	0.3182
[232]	[0.0225]	0.1263	0.3182	0.2445
[233]	[0.0031]	0.0313	0.3182	0.3070
[234]	[-0.0009]	0.8205	0.3182	0.3182
[235]	[0.0064]	0.2713	0.3182	0.3076
[236]	[-0.0193]	1.9394	0.2727	0.3019
[237]	[0.0092]	0.1630	0.3182	0.3144
[238]	[-0.0019]	0.8608	0.3182	0.3182
[239]	[0.0236]	0.3103	0.3182	0.3198
[240]	[0.0012]	0.6796	0.3182	0.3182
[241]	[0.0029]	0.4124	0.3182	0.3350
[242]	[0.0010]	0.7202	0.3182	0.3182
[243]	[-0.0280]	1.6570	0.2727	0.2811
[244]	[0.0078]	0.5264	0.3182	0.3182
[245]	[0.0217]	-0.0937	0.2273	0.2258
[246]	[0.0070]	0.6124	0.3182	0.3182
[247]	[0.0051]	0.5783	0.3182	0.3182
[248]	[-0.0208]	1.4891	0.1818	0.2039
[249]	[-0.0001]	1.4045	0.3182	0.3158
[250]	[0.0022]	0.6598	0.3182	0.3182
[251]	[-0.0077]	2.0882	0.2273	0.2262
[252]	[-0.0160]	1.3022	0.3182	0.3116
[253]	[0.0123]	0.3660	0.3182	0.3182
[254]	[0.0080]	0.3052	0.3182	0.3173
[255]	[0.0475]	0.3431	0.3182	0.3161
[256]	[0.0139]	0.3152	0.3182	0.3171
[257]	[0.0023]	0.6968	0.3182	0.3182
[258]	[0.0006]	0.7471	0.3182	0.3182
[259]	[-0.0049]	0.9630	0.3182	0.3404
[260]	[0.0005]	-1.9558	0.1818	0.1876
[261]	[0.0114]	-0.5692	0.3182	0.3152
[262]	[-0.0087]	1.2828	0.3182	0.2998
[263]	[-0.0322]	1.6395	0.3182	0.2975
[264]	[-0.0016]	1.4146	0.3182	0.3182
[265]	[0.0018]	0.6091	0.3182	0.3182
[266]	[0.0333]	0.4352	0.3182	0.3404
[267]	[0.0010]	0.6165	0.3182	0.3182
[268]	[0.0053]	-0.2387	0.2727	0.2877
[269]	[0.0536]	0.2250	0.3182	0.3385
[270]	[0.0081]	0.3453	0.3182	0.3172
[271]	[0.0000]	0.7586	0.3182	0.3182
[272]	[0.0130]	-0.3472	0.2273	0.2468
[273]	[0.0122]	0.4575	0.3182	0.3182
[274]	[-0.0018]	0.8351	0.3182	0.3182
[275]	[-0.0007]	0.8145	0.3182	0.3182
[276]	[0.0236]	0.4398	0.3182	0.3229
[277]	[0.0017]	0.5384	0.3182	0.3182
[278]	[-0.0160]	1.5676	0.2273	0.2357
[279]	[0.0113]	0.4279	0.3182	0.3182
[280]	[-0.0213]	1.3125	0.2727	0.2467
[281]	[0.0037]	0.5766	0.3182	0.3182
[282]	[0.0005]	0.6448	0.3182	0.3182
[283]	[0.0179]	0.5103	0.3182	0.3318
[284]	[-0.0066]	1.0062	0.3182	0.3182
[285]	[-0.0027]	0.8339	0.3182	0.3182
[286]	[-0.0765]	2.9177	0.2727	0.2308
[287]	[0.0106]	0.0860	0.3182	0.2844
[288]	[0.0233]	0.4215	0.3182	0.3445
[289]	[0.0223]	0.1022	0.3182	0.3438
[290]	[-0.0161]	1.1051	0.3182	0.3182
[291]	[0.0066]	0.6061	0.3182	0.3182
[292]	[-0.0176]	1.3940	0.2727	0.2695
[293]	[0.0032]	0.7235	0.3182	0.3182
[294]	[0.0090]	0.5157	0.3182	0.3182
[295]	[-0.0060]	0.8780	0.3182	0.3181
[296]	[0.0059]	-0.5514	0.0909	0.1352
[297]	[-0.0044]	1.5409	0.3182	0.2633
[298]	[-0.0094]	0.9984	0.3182	0.3123
[299]	[0.0235]	-0.2318	0.3636	0.3497
[300]	[-0.0121]	1.3252	0.2727	0.2339
[301]	[-0.0070]	1.1231	0.3182	0.3152
[302]	[-0.0061]	0.9755	0.3182	0.2954
[303]	[-0.0282]	1.7991	0.2727	0.2575
[304]	[0.0032]	0.5959	0.3182	0.3185
[305]	[0.0008]	0.7186	0.3182	0.3182
[306]	[0.0249]	-0.9970	0.3182	0.2945
[307]	[0.0097]	-1.1438	0.2727	0.2392
[308]	[0.0172]	0.5151	0.3182	0.3182
[309]	[0.0021]	-0.7047	0.2727	0.2634
[310]	[0.0259]	-1.0030	0.1818	0.2239
[311]	[0.0057]	0.5096	0.3182	0.3183
[312]	[0.0026]	0.6764	0.3182	0.3182
[313]	[0.0024]	0.4545	0.3182	0.3190
[314]	[0.0195]	0.3527	0.3182	0.3180
[315]	[0.0178]	-0.2287	0.2273	0.2573
[316]	[-0.0676]	2.1146	0.2727	0.2672
[317]	[0.0040]	-0.0782	0.3182	0.3190
[318]	[0.0006]	0.5957	0.3182	0.3182
[319]	[0.0132]	0.5367	0.3182	0.3179
[320]	[0.0010]	0.0298	0.3182	0.2941
[321]	[-0.0058]	3.6250	0.2727	0.2637
[322]	[-0.0122]	1.6468	0.2727	0.2527
[323]	[-0.0126]	1.0907	0.3182	0.3183
[324]	[0.0145]	-0.2136	0.2273	0.2310
[325]	[0.0047]	0.6440	0.3182	0.3182
[326]	[-0.0137]	1.2913	0.3182	0.3210
[327]	[-0.0160]	2.0532	0.3182	0.3154
[328]	[0.0052]	-0.5193	0.2727	0.2501
[329]	[0.0191]	-0.4798	0.0455	0.0882
[330]	[-0.0017]	0.8675	0.3182	0.3182
[331]	[0.0212]	0.4332	0.3182	0.3181
[332]	[0.0143]	-0.7156	0.2273	0.2434
[333]	[0.0038]	0.4015	0.3182	0.3182
[334]	[-0.0035]	0.8432	0.3182	0.3182
[335]	[-0.0033]	1.1396	0.2727	0.2442
[336]	[0.0049]	0.5918	0.3182	0.3182
[337]	[-0.0054]	1.9916	0.2727	0.2527
[338]	[0.0017]	0.6787	0.3182	0.3182
[339]	[-0.0112]	0.9823	0.3182	0.3182
[340]	[0.0016]	0.6317	0.3182	0.3182
[341]	[-0.0795]	4.0175	0.1818	0.1525
[342]	[-0.0000]	0.7639	0.3182	0.3182
[343]	[0.0212]	0.2842	0.3182	0.3196
[344]	[-0.0168]	1.1326	0.3636	0.3516
[345]	[0.0012]	0.7274	0.3182	0.3182
[346]	[0.0013]	0.7401	0.3182	0.3182
[347]	[-0.0056]	1.4096	0.2273	0.2380
[348]	[-0.0149]	1.2794	0.3182	0.3125
[349]	[0.0310]	-1.6362	0.1818	0.2076
[350]	[0.0081]	0.4582	0.3182	0.3183
[351]	[0.0019]	0.6641	0.3182	0.3182
[352]	[-0.0038]	1.0241	0.2727	0.2808
[353]	[0.0621]	-0.0965	0.1818	0.2416
[354]	[0.0153]	0.3795	0.3182	0.3317
[355]	[-0.0151]	1.2794	0.3182	0.3162
[356]	[-0.0006]	0.9195	0.3182	0.3182
[357]	[-0.0138]	1.1853	0.2727	0.2604
[358]	[0.0163]	-0.1992	0.2727	0.2608
[359]	[-0.0070]	0.8796	0.3182	0.3182
[360]	[0.0041]	0.4355	0.3182	0.3182
[361]	[0.0167]	0.5322	0.3182	0.3182
[362]	[0.0010]	0.6844	0.3182	0.3182
