gene index	a_n	m	resub	bresub
[303]	[-0.0290]	1.2177	0.3333	0.3220
[304]	[0.0084]	-0.1693	0.3333	0.3164
[305]	[-0.0004]	0.1548	0.4667	0.4667
[306]	[0.0110]	-0.5060	0.4667	0.4411
[307]	[0.0170]	-2.5767	0.2000	0.2032
[308]	[0.0200]	-0.2735	0.4000	0.3470
[309]	[0.0012]	-0.6832	0.3333	0.3427
[310]	[0.0132]	-0.6653	0.4667	0.4035
[311]	[-0.0033]	0.2259	0.4667	0.4896
[312]	[0.0125]	-0.3218	0.4000	0.3836
[313]	[-0.0045]	0.4826	0.4667	0.4245
[314]	[-0.0159]	0.3731	0.4000	0.3982
[315]	[0.0045]	-0.0773	0.4000	0.4070
[316]	[-0.0143]	0.4918	0.5333	0.4724
[317]	[-0.0047]	0.9266	0.3333	0.3742
[318]	[-0.0012]	0.4527	0.4000	0.4141
[319]	[0.0162]	-0.1360	0.3333	0.3959
[320]	[0.0027]	-1.8910	0.2000	0.2621
[321]	[-0.0039]	2.1164	0.2667	0.3565
[322]	[0.0016]	-0.1157	0.3333	0.4559
[323]	[-0.0366]	0.9907	0.3333	0.3305
[324]	[0.0252]	-1.7656	0.2667	0.2598
[325]	[-0.0059]	0.2576	0.4667	0.4693
[326]	[-0.0535]	1.6273	0.2000	0.2538
[327]	[-0.0265]	2.1087	0.4000	0.3722
[328]	[0.0082]	-1.8057	0.2000	0.2344
[329]	[0.0383]	-1.6587	0.2000	0.1608
[330]	[0.0084]	-0.4215	0.4000	0.4247
[331]	[0.0104]	-0.0275	0.5333	0.5214
[332]	[0.0077]	-0.6031	0.3333	0.3811
[333]	[-0.0005]	0.1750	0.4667	0.4667
[334]	[-0.0239]	0.5415	0.4667	0.4220
[335]	[-0.0019]	0.3701	0.4000	0.2939
[336]	[0.0003]	0.1226	0.4667	0.4667
[337]	[-0.0009]	0.3800	0.4000	0.4070
[338]	[-0.0026]	0.2465	0.4000	0.4063
[339]	[0.0143]	-0.2268	0.5333	0.4502
[340]	[-0.0015]	0.2486	0.4000	0.3921
[341]	[-0.0369]	1.5969	0.3333	0.2782
[342]	[-0.0157]	0.6629	0.4000	0.3840
[343]	[0.0357]	-0.6929	0.2667	0.3124
[344]	[-0.0068]	0.3067	0.4000	0.4139
[345]	[-0.0151]	0.4740	0.4000	0.4151
[346]	[0.0588]	-1.3849	0.2667	0.2863
[347]	[-0.0072]	0.7968	0.3333	0.2487
[348]	[-0.0003]	0.1471	0.4667	0.4667
[349]	[0.0853]	-6.7975	0.1333	0.1497
[350]	[0.0107]	-0.2712	0.6000	0.4697
[351]	[-0.0022]	0.2172	0.4000	0.4316
[352]	[-0.0046]	0.4332	0.5333	0.4379
[353]	[0.0603]	-1.5144	0.2000	0.2094
[354]	[0.0350]	-0.6906	0.2000	0.2042
[355]	[0.0003]	0.1214	0.4667	0.4667
[356]	[-0.0027]	0.7274	0.4000	0.3860
[357]	[-0.0089]	0.4215	0.3333	0.3746
[358]	[-0.0051]	0.3406	0.3333	0.3770
[359]	[-0.0036]	0.1969	0.4000	0.3958
[360]	[-0.0023]	0.2898	0.4667	0.4861
[361]	[0.0171]	-0.1304	0.5333	0.4634
[362]	[0.0012]	0.0492	0.4667	0.4142
[363]	[0.0011]	0.0919	0.4667	0.4667
[364]	[0.0109]	-1.4694	0.2000	0.2767
[365]	[-0.0089]	0.4717	0.4667	0.4377
[366]	[0.0117]	-1.0055	0.2667	0.3276
[367]	[0.0079]	-0.6116	0.2000	0.3746
[368]	[-0.0351]	0.9643	0.2667	0.3160
[369]	[0.0002]	-0.0743	0.3333	0.3353
[370]	[0.0081]	-0.0163	0.4000	0.4441
[371]	[0.0364]	-0.8003	0.2667	0.2028
[372]	[0.0050]	-6.4404	0.0667	0.1049
[373]	[0.0039]	-0.4220	0.4667	0.4352
[374]	[0.0205]	-0.5522	0.4000	0.4034
[375]	[0.0028]	-0.0282	0.4000	0.3991
[376]	[0.0006]	-0.3072	0.3333	0.4103
[377]	[0.0312]	-0.3861	0.4667	0.4419
[378]	[0.0406]	-0.2161	0.2667	0.2150
[379]	[-0.0001]	0.1660	0.4667	0.4667
[380]	[0.0050]	-0.4186	0.4667	0.4511
[381]	[0.0001]	0.1201	0.4667	0.4667
[382]	[0.0025]	-0.0748	0.4667	0.4796
[383]	[-0.0064]	0.2920	0.4000	0.3781
[384]	[0.0326]	-0.5870	0.3333	0.3602
[385]	[0.0114]	-0.5338	0.4000	0.3668
[386]	[-0.0081]	0.6894	0.4000	0.3925
[387]	[0.0235]	-0.4122	0.4000	0.4006
[388]	[0.0048]	-0.3785	0.3333	0.2641
[389]	[-0.0007]	0.1506	0.4667	0.4667
[390]	[0.0040]	-0.1220	0.4000	0.4163
[391]	[0.0103]	-0.2726	0.4667	0.4035
[392]	[0.0381]	-0.7579	0.3333	0.3421
[393]	[0.0026]	-0.0388	0.4667	0.4901
[394]	[-0.0364]	0.9448	0.2667	0.2893
[395]	[-0.0136]	0.9405	0.2667	0.2505
[396]	[-0.0200]	0.2545	0.4667	0.4417
[397]	[0.0089]	-0.7776	0.3333	0.3450
[398]	[0.0084]	-3.2217	0.1333	0.2408
[399]	[0.0360]	-0.2835	0.4667	0.4552
[400]	[0.0032]	-0.3752	0.4000	0.4323
[401]	[-0.0022]	0.2997	0.4667	0.4238
[402]	[-0.0110]	0.7921	0.4000	0.4182
[403]	[0.0226]	-1.2450	0.2000	0.2868
[404]	[0.0073]	-0.0685	0.4000	0.4285
[405]	[-0.0170]	0.9908	0.3333	0.3566
[406]	[-0.0081]	0.9750	0.3333	0.3122
[407]	[-0.0046]	0.3429	0.3333	0.3873
[408]	[-0.0083]	0.3640	0.5333	0.4615
[409]	[-0.0131]	0.3704	0.3333	0.4055
[410]	[-0.0111]	0.6289	0.4000	0.3686
[411]	[0.0071]	-0.0260	0.5333	0.5132
[412]	[0.0185]	-0.6293	0.2000	0.1784
[413]	[0.0015]	-0.3222	0.2667	0.2105
[414]	[0.0199]	-0.1367	0.5333	0.5412
[415]	[0.0518]	-1.3308	0.0667	0.1488
[416]	[-0.0088]	0.1855	0.5333	0.5248
[417]	[-0.0412]	1.4210	0.2667	0.2961
[418]	[-0.0143]	0.6190	0.4000	0.3954
[419]	[0.0199]	-0.3532	0.4000	0.4908
[420]	[0.0498]	-0.6235	0.2000	0.2912
[421]	[-0.0166]	0.7879	0.3333	0.3684
[422]	[0.0068]	0.0190	0.4667	0.4015
[423]	[0.0044]	-0.6731	0.4667	0.4101
[424]	[0.0124]	0.0339	0.4667	0.5825
[425]	[0.0193]	-0.9893	0.4000	0.3805
[426]	[0.0094]	-0.1072	0.4000	0.4301
[427]	[0.0060]	-0.4376	0.4667	0.4617
[428]	[-0.0163]	0.6752	0.4000	0.3883
[429]	[0.0026]	0.0821	0.4667	0.4584
[430]	[0.0076]	-2.3986	0.1333	0.1729
[431]	[-0.0014]	0.2868	0.4667	0.4667
[432]	[0.0082]	-0.3347	0.4000	0.4149
[433]	[0.0009]	0.1178	0.4667	0.4667
[434]	[-0.0228]	0.5822	0.4667	0.4465
[435]	[0.0041]	0.0133	0.4667	0.4438
[436]	[-0.0028]	0.5745	0.4667	0.4278
[437]	[-0.0041]	0.4369	0.4000	0.3860
[438]	[0.0304]	-0.0990	0.4000	0.4513
[439]	[0.0083]	-0.4228	0.4000	0.3663
[440]	[0.0003]	-1.8595	0.2667	0.3473
[441]	[-0.0047]	0.3747	0.4667	0.4752
[442]	[-0.0032]	0.3130	0.4000	0.2976
[443]	[0.0016]	0.0246	0.4667	0.4692
[444]	[0.0043]	-1.4670	0.2667	0.3291
[445]	[0.0125]	-2.2397	0.1333	0.1384
[446]	[-0.0041]	0.5519	0.3333	0.3874
[447]	[0.0024]	-0.0178	0.5333	0.4360
[448]	[0.0518]	-1.0524	0.2000	0.2284
[449]	[0.0072]	-1.4553	0.3333	0.3983
[450]	[0.0012]	0.0104	0.4667	0.4249
[451]	[-0.0111]	1.1306	0.4000	0.3944
[452]	[0.0230]	-0.2201	0.2667	0.3854
[453]	[-0.0002]	0.1634	0.4667	0.4667
[454]	[0.0027]	0.0816	0.4667	0.4651
[455]	[-0.0066]	0.7103	0.3333	0.3716
[456]	[0.0035]	-0.1922	0.3333	0.2453
[457]	[-0.0006]	0.1477	0.4667	0.4667
[458]	[-0.0055]	0.5065	0.4000	0.3587
[459]	[-0.0215]	1.2658	0.4000	0.3823
[460]	[0.0198]	-0.4513	0.4000	0.4142
[461]	[0.0054]	0.0226	0.4667	0.4224
[462]	[-0.0276]	1.1554	0.4000	0.3581
[463]	[-0.0001]	0.1417	0.4667	0.4667
[464]	[0.0004]	0.0855	0.4667	0.4667
