gene index	a_n	m	resub	bresub
[118]	[-0.0000]	0.1634	0.4667	0.4684
[119]	[0.0168]	-0.8801	0.3333	0.3071
[120]	[-0.0240]	2.1802	0.2667	0.3102
[121]	[-0.0038]	0.6599	0.4000	0.3760
[122]	[0.0001]	0.1312	0.4667	0.4667
[123]	[-0.0125]	0.6078	0.4000	0.3719
[124]	[-0.0009]	0.2780	0.4000	0.4124
[125]	[-0.0004]	0.1629	0.4667	0.4667
[126]	[-0.0036]	0.3154	0.4000	0.4549
[127]	[-0.0011]	0.2426	0.5333	0.5018
[128]	[-0.0002]	0.1501	0.4667	0.4667
[129]	[0.0022]	0.0998	0.4667	0.4665
[130]	[-0.0040]	1.5503	0.3333	0.3608
[131]	[-0.0006]	0.4742	0.4667	0.4270
[132]	[-0.0013]	0.4810	0.4000	0.4015
[133]	[0.0216]	-0.8662	0.2667	0.3089
[134]	[-0.0199]	0.6526	0.4000	0.4014
[135]	[0.0095]	-0.2044	0.4667	0.5108
[136]	[0.0009]	-0.0570	0.4667	0.5001
[137]	[0.0006]	-0.0148	0.5333	0.4632
[138]	[0.0037]	-0.0421	0.4667	0.4531
[139]	[-0.0013]	0.2861	0.4667	0.4647
[140]	[-0.0054]	0.3952	0.4000	0.3230
[141]	[0.0391]	-0.3532	0.4000	0.3833
[142]	[-0.0236]	0.9640	0.3333	0.3363
[143]	[-0.0034]	0.9000	0.4667	0.4316
[144]	[-0.0032]	0.9788	0.2667	0.3526
[145]	[-0.0176]	1.7099	0.2667	0.3159
[146]	[-0.0017]	0.1831	0.4667	0.4678
[147]	[-0.0095]	1.5465	0.2000	0.2930
[148]	[-0.0087]	0.3242	0.4667	0.4546
[149]	[-0.0015]	0.2466	0.4000	0.3774
[150]	[0.0093]	-1.2533	0.4000	0.3736
[151]	[-0.0007]	0.1793	0.4667	0.4667
[152]	[-0.0326]	0.9294	0.4667	0.4167
[153]	[-0.0490]	0.5732	0.4000	0.3800
[154]	[0.0072]	-0.8771	0.2667	0.3656
[155]	[0.0126]	-0.2990	0.4000	0.4427
[156]	[-0.0044]	0.6488	0.4667	0.4784
[157]	[0.0007]	0.0707	0.4667	0.4672
[158]	[-0.0155]	0.8242	0.2667	0.3502
[159]	[-0.0005]	0.2496	0.4667	0.4267
[160]	[-0.0081]	1.5257	0.4000	0.3366
[161]	[-0.0064]	0.3768	0.4667	0.4348
[162]	[-0.0021]	0.3345	0.4000	0.4626
[163]	[-0.0112]	0.8454	0.4000	0.4196
[164]	[0.0166]	-0.7118	0.4000	0.4288
[165]	[-0.0008]	0.7752	0.4667	0.4153
[166]	[-0.0040]	0.3877	0.4000	0.3780
[167]	[-0.0034]	0.7562	0.3333	0.4119
[168]	[-0.0746]	1.3051	0.2667	0.3053
[169]	[0.0059]	-0.0087	0.4000	0.4796
[170]	[-0.0008]	0.4263	0.4667	0.4323
[171]	[-0.0015]	0.6344	0.3333	0.3857
[172]	[0.0037]	-0.3949	0.3333	0.3671
[173]	[0.0120]	-0.6367	0.4667	0.3988
[174]	[-0.0128]	1.3656	0.3333	0.3107
[175]	[0.0296]	-0.3686	0.3333	0.3372
[176]	[0.0148]	-0.1789	0.4000	0.3613
[177]	[-0.0088]	0.4355	0.4667	0.4466
[178]	[-0.0037]	0.4227	0.4000	0.3851
[179]	[-0.0002]	0.1498	0.4667	0.4667
[180]	[-0.0290]	1.3199	0.4000	0.3349
[181]	[0.0210]	-0.4538	0.4000	0.4093
[182]	[-0.0040]	1.9203	0.3333	0.3660
[183]	[-0.0123]	1.9304	0.2667	0.3139
[184]	[0.0142]	-0.2700	0.4667	0.4542
[185]	[-0.0028]	0.2430	0.4667	0.4709
[186]	[-0.0115]	0.9827	0.3333	0.3660
[187]	[0.0000]	0.1334	0.4667	0.4667
[188]	[0.0092]	-0.2288	0.3333	0.3792
[189]	[-0.0305]	1.9299	0.2667	0.3388
[190]	[0.0245]	-0.3431	0.4000	0.3879
[191]	[0.0238]	-2.0427	0.3333	0.3355
[192]	[0.0224]	-0.1384	0.4667	0.4441
[193]	[0.0373]	-0.9071	0.4000	0.3729
[194]	[-0.0272]	0.7729	0.2667	0.2917
[195]	[-0.0083]	0.4928	0.4000	0.4326
[196]	[-0.0251]	0.8236	0.4667	0.4435
[197]	[0.0091]	-0.4072	0.4667	0.4253
[198]	[0.0010]	0.0271	0.4667	0.4701
[199]	[-0.0072]	0.4639	0.5333	0.4774
[200]	[-0.0200]	0.2701	0.4000	0.4208
[201]	[-0.0018]	0.6866	0.4667	0.4693
[202]	[-0.0129]	0.9929	0.3333	0.3226
[203]	[-0.0130]	0.7375	0.3333	0.3826
[204]	[-0.0032]	0.7270	0.5333	0.4115
[205]	[-0.1425]	0.4809	0.3333	0.2844
[206]	[-0.0009]	0.1588	0.4667	0.4668
[207]	[-0.0109]	0.7889	0.4000	0.3996
[208]	[0.0100]	-0.1523	0.4667	0.4385
[209]	[-0.0044]	1.6323	0.4000	0.3687
[210]	[-0.0334]	2.3532	0.4000	0.3099
[211]	[0.0169]	-0.5961	0.3333	0.3862
[212]	[0.0018]	-0.7423	0.4000	0.3611
[213]	[0.0004]	0.0146	0.4667	0.5334
[214]	[0.0021]	0.0883	0.4667	0.4667
[215]	[-0.0101]	0.3907	0.4000	0.4251
[216]	[-0.0072]	0.4918	0.3333	0.3721
[217]	[0.0068]	-0.2924	0.4667	0.4739
[218]	[0.0032]	-0.1120	0.4000	0.3789
[219]	[-0.0118]	0.9717	0.4667	0.4258
[220]	[-0.0029]	0.3176	0.4667	0.4651
