"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000023106",5,8,15,0,16,0,6,28,0,6,4,11,0,5,6,31,20,29,2,0,20,11,7,12,2,2,0,8,7,6,6,14,11,10,4,0,4,15
"ENSMUSG00000023150",38,14,6,29,38,14,37,46,16,14,30,11,42,2,16,11,26,17,16,0,28,30,12,23,0,11,18,44,25,29,17,6,31,31,17,9,20,13
"ENSMUSG00000023169",4,14,17,8,3,18,10,16,45,16,9,31,9,36,23,7,7,8,10,40,4,13,7,8,10,0,25,26,17,3,15,17,9,19,0,24,6,14
"ENSMUSG00000023170",1,2,8,10,14,7,4,18,0,4,4,5,19,5,5,8,2,6,10,6,2,13,9,2,0,0,0,10,4,0,6,0,8,2,0,0,0,1
"ENSMUSG00000023333",1,4,53,7,0,48,6,1,3,6,2,4,0,9,1,1,0,1,11,0,2,1,10,4,0,3,0,0,4,9,9,3,1,5,4,2,4,0
"ENSMUSG00000023456",3,8,8,5,6,7,2,4,0,3,0,4,3,0,7,3,5,6,0,6,0,4,7,0,0,6,0,2,7,0,8,0,2,0,7,2,2,0
"ENSMUSG00000023460",6,0,8,0,3,0,5,8,3,4,7,0,0,2,2,4,5,6,2,14,0,4,2,4,0,0,0,10,0,9,4,0,4,0,0,4,2,1
"ENSMUSG00000023827",23,30,36,23,48,59,36,70,16,56,20,31,32,14,45,34,44,54,25,20,62,45,17,23,22,22,14,17,45,23,25,6,70,22,0,28,28,50
"ENSMUSG00000023830",3,0,0,7,11,2,9,5,0,0,0,0,6,0,15,4,4,4,1,0,8,10,2,0,2,8,9,5,0,0,0,0,5,0,4,0,4,6
"ENSMUSG00000023845",14,10,19,7,10,9,20,21,6,11,11,2,14,16,2,36,18,20,7,9,6,15,21,10,12,14,12,18,6,9,17,8,10,0,0,9,36,12
"ENSMUSG00000023852",10,28,19,18,24,25,24,28,0,9,21,25,23,20,21,42,19,29,15,23,10,34,14,29,7,24,5,25,23,11,9,6,50,7,7,11,18,18
"ENSMUSG00000023909",3,14,8,13,19,14,2,18,13,6,16,5,5,27,17,13,14,20,10,12,6,16,10,0,0,8,30,13,9,9,4,6,4,5,4,0,0,13
