"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000000001",5,4,0,2,15,5,9,12,3,1,12,5,0,2,19,9,9,13,3,14,8,6,7,4,2,11,4,0,0,6,0,6,6,0,22,4,4,0
"ENSMUSG00000000056",5,2,11,3,19,0,9,9,0,0,7,4,6,2,7,10,6,5,1,0,0,4,0,0,5,0,2,10,7,0,4,8,10,7,17,0,0,4
"ENSMUSG00000000078",319,265,201,540,588,290,375,566,118,279,198,351,497,245,439,632,465,493,431,205,287,611,274,375,34,535,308,241,383,217,232,84,485,144,238,207,409,225
"ENSMUSG00000000131",1,2,9,13,1,2,2,3,6,1,5,2,1,5,1,2,3,2,7,6,10,0,2,6,5,2,7,4,4,0,0,17,4,0,2,9,2,0
"ENSMUSG00000000142",0,2,6,2,0,0,1,2,6,1,5,13,1,2,4,2,8,4,4,9,12,0,9,8,0,5,0,4,6,9,4,6,10,2,24,2,10,8
"ENSMUSG00000000184",21,8,2,17,16,188,10,11,13,27,14,9,119,63,53,45,24,29,19,14,26,19,23,42,25,37,34,1,43,9,23,11,24,0,11,28,12,5
"ENSMUSG00000000194",1,4,4,3,3,23,7,1,3,0,7,2,3,0,2,2,6,3,1,3,0,4,2,6,7,5,2,0,3,3,6,6,6,2,4,7,6,4
"ENSMUSG00000000197",1,6,24,15,0,5,9,1,19,6,2,11,76,0,7,1,3,9,1,0,0,1,38,21,12,3,19,4,25,9,11,11,0,5,20,7,64,5
"ENSMUSG00000000204",33,4,9,50,35,11,23,28,51,34,21,33,46,9,18,66,9,83,33,0,8,23,10,19,2,54,7,8,13,11,28,0,57,10,4,0,58,8
"ENSMUSG00000000244",3,0,154,0,1,36,1,0,0,0,0,0,0,2,0,1,1,1,28,0,0,0,3,0,2,0,0,1,0,6,2,0,0,0,0,11,0,0
"ENSMUSG00000000266",0,2,4,3,1,0,0,2,3,0,0,0,177,0,2,0,2,1,2,0,4,0,2,0,0,2,2,2,0,0,4,0,1,5,4,0,0,1
"ENSMUSG00000000275",6,16,15,22,28,14,8,21,13,23,11,0,19,0,13,14,12,20,7,26,14,16,17,10,0,16,11,7,17,9,4,0,26,2,4,20,14,2
"ENSMUSG00000000282",3,8,8,3,7,2,1,6,0,3,4,0,5,7,5,1,2,4,4,0,2,4,0,0,2,3,4,4,6,0,4,3,3,5,9,9,0,7
"ENSMUSG00000000303",34,32,23,49,97,27,42,50,16,30,27,18,24,20,63,26,32,60,42,20,46,72,5,25,25,21,37,51,14,11,9,31,38,48,37,33,14,38
"ENSMUSG00000000308",29,16,4,27,35,32,48,25,6,7,52,16,15,14,50,6,6,14,12,12,16,23,16,27,10,14,19,53,29,3,25,6,23,24,7,24,24,26
"ENSMUSG00000000346",25,39,19,5,80,7,31,40,10,40,7,13,15,14,21,45,48,62,36,12,18,24,30,10,0,21,9,18,14,14,13,20,38,5,11,9,14,12
"ENSMUSG00000000374",10,4,8,7,5,5,4,11,10,10,7,0,5,0,1,3,5,5,3,3,12,10,7,6,0,0,5,1,4,0,2,0,9,5,0,0,2,9
"ENSMUSG00000000385",3,0,2,0,6,0,2,1,0,3,7,2,0,0,2,1,3,3,3,0,8,2,0,0,7,0,0,2,0,0,0,0,4,2,0,0,2,1
"ENSMUSG00000000420",6,4,2,5,10,5,9,20,0,4,9,4,5,0,11,10,9,11,3,3,2,12,5,13,2,3,0,0,1,3,0,3,14,0,9,4,0,2
"ENSMUSG00000000486",0,0,0,5,1,0,0,1,10,0,0,4,0,9,0,0,2,1,2,12,0,1,0,2,2,6,18,0,0,74,11,11,12,5,0,0,14,0
"ENSMUSG00000000489",0,2,4,0,3,20,1,1,3,4,0,0,5,7,6,5,7,2,1,0,0,2,5,6,10,3,5,6,14,0,2,3,3,5,2,2,8,5
"ENSMUSG00000000532",0,2,30,7,2,5,1,2,3,4,0,4,0,5,7,1,4,1,16,0,4,2,3,0,7,3,2,4,4,9,11,0,1,0,4,7,4,5
"ENSMUSG00000000544",18,18,11,3,29,18,18,12,3,7,2,7,5,9,10,7,14,14,9,6,4,11,0,4,2,11,11,20,10,6,9,8,13,5,26,11,32,26
"ENSMUSG00000000563",5,4,0,2,5,0,5,5,0,1,0,4,1,0,1,5,1,5,4,0,4,5,0,0,7,0,5,6,4,9,4,3,3,2,13,11,2,2
"ENSMUSG00000000567",9,4,21,23,22,18,11,11,13,13,9,11,12,32,21,10,12,24,8,20,18,24,17,15,0,29,18,8,36,0,19,0,16,10,0,17,14,9
"ENSMUSG00000000568",3,2,9,5,4,7,3,7,3,7,2,0,4,5,8,6,6,7,5,9,4,1,7,12,5,6,0,6,6,6,8,0,9,5,0,2,2,5
"ENSMUSG00000000600",6,8,11,3,4,18,9,11,26,26,11,4,42,11,17,5,13,12,12,9,12,3,12,10,22,13,9,6,9,9,13,8,9,2,15,15,20,14
"ENSMUSG00000000605",5,12,2,15,6,11,8,9,3,13,20,5,10,0,6,4,6,6,2,0,0,12,17,0,2,6,4,6,14,0,13,6,5,0,17,7,2,9
"ENSMUSG00000000628",36,10,13,25,57,14,43,37,0,30,62,80,64,92,110,29,64,35,60,12,56,92,17,35,22,100,71,49,48,0,13,0,47,36,9,20,62,42
"ENSMUSG00000000631",82,59,39,62,122,82,62,91,73,47,105,67,127,68,100,31,54,58,146,37,32,85,87,65,17,95,71,75,93,34,51,20,79,41,48,26,62,46
"ENSMUSG00000000711",74,43,38,10,158,25,64,86,22,86,7,40,31,45,45,37,97,77,37,49,86,57,33,27,2,18,16,74,48,49,17,115,56,22,92,48,28,58
"ENSMUSG00000000740",9,2,8,2,15,5,7,5,0,3,0,0,4,5,8,6,14,7,3,3,18,1,5,2,0,6,0,5,1,3,4,6,9,2,4,0,2,1
"ENSMUSG00000000787",8,14,13,27,32,18,23,59,0,7,18,20,32,27,48,170,29,51,26,12,18,39,30,23,7,19,34,4,14,0,13,0,40,19,15,15,26,19
"ENSMUSG00000000804",5,6,6,10,6,7,7,5,0,6,14,2,3,7,5,16,4,5,8,3,0,3,14,13,2,0,5,0,9,6,4,3,8,5,2,0,0,0
"ENSMUSG00000000805",73,69,28,34,63,43,46,74,10,47,43,44,42,16,69,13,16,59,53,12,46,99,10,17,10,48,32,69,22,0,21,3,36,26,17,24,44,61
"ENSMUSG00000000826",29,10,13,25,25,27,22,25,0,27,11,22,10,9,35,11,11,18,16,23,20,30,17,8,10,11,18,23,16,17,13,6,25,34,2,9,22,12
"ENSMUSG00000000827",19,0,0,0,4,9,3,5,3,3,7,0,3,0,0,1,7,4,1,0,0,3,0,0,0,5,5,2,1,0,2,0,4,0,0,0,0,5
"ENSMUSG00000000838",9,12,11,12,9,5,17,13,13,1,16,5,15,5,12,10,7,13,12,0,14,13,9,8,2,10,12,4,9,3,8,0,13,2,4,9,18,15
"ENSMUSG00000000861",3,6,4,5,1,0,7,3,22,3,2,4,4,7,4,2,4,1,2,20,0,2,3,13,20,0,5,4,1,6,0,6,8,2,0,0,10,4
"ENSMUSG00000000881",3,0,0,8,4,5,4,4,0,6,2,4,6,0,0,1,1,2,1,3,2,2,0,4,17,3,0,0,0,0,0,6,3,5,2,4,2,0
"ENSMUSG00000000938",3,4,11,7,8,9,17,7,0,4,2,4,0,0,4,2,13,8,8,0,4,7,3,0,5,2,2,8,7,0,13,6,4,10,2,0,0,2
"ENSMUSG00000000957",0,4,0,0,7,2,2,12,0,0,4,4,10,11,2,13,7,11,4,0,4,4,16,2,7,5,7,4,3,6,2,0,4,0,4,2,4,0
"ENSMUSG00000001025",14,14,11,12,30,0,16,12,0,24,4,9,4,2,16,8,15,13,13,0,34,17,7,4,2,11,27,6,17,17,11,6,10,7,2,0,14,9
"ENSMUSG00000001052",0,10,2,2,1,5,0,1,0,9,4,0,0,0,0,4,5,3,3,12,0,1,12,38,2,6,2,2,0,34,6,0,3,0,0,4,0,0
"ENSMUSG00000001089",54,34,83,50,83,34,104,84,13,49,91,49,50,72,36,46,48,70,74,49,26,103,44,29,29,65,48,137,68,23,40,39,66,98,35,96,42,108
"ENSMUSG00000001123",10,6,4,3,8,7,8,13,0,3,2,4,5,0,2,13,26,17,7,17,8,8,10,4,10,14,4,4,0,3,9,6,14,0,9,4,8,8
"ENSMUSG00000001143",0,0,11,3,1,23,4,2,6,7,0,9,45,11,8,2,1,2,5,0,4,2,10,4,12,14,7,0,14,0,6,3,5,7,2,7,6,4
"ENSMUSG00000001150",3,4,6,0,8,0,2,1,0,0,4,5,3,0,1,0,0,2,1,6,0,1,5,4,2,0,12,6,0,3,2,0,1,0,4,4,6,5
"ENSMUSG00000001151",10,14,0,13,17,18,24,16,3,6,21,13,9,16,23,10,13,6,9,17,4,12,40,17,7,6,12,26,33,20,11,8,17,14,15,7,30,14
"ENSMUSG00000001156",246,203,156,270,287,199,361,287,61,212,198,229,297,200,371,208,205,170,305,161,144,415,213,277,79,336,265,203,344,97,162,84,234,235,254,215,226,297
"ENSMUSG00000001157",6,0,4,5,3,2,1,2,0,0,11,0,5,5,1,3,3,2,3,9,0,1,9,10,5,2,12,5,6,9,4,0,4,5,2,2,4,5
"ENSMUSG00000001158",1,6,0,0,4,5,4,2,0,1,2,4,3,0,6,4,3,4,0,0,2,5,2,0,5,0,5,7,1,3,2,6,4,0,2,0,0,0
"ENSMUSG00000001175",117,128,154,205,179,143,113,213,35,83,205,100,142,115,127,239,175,241,166,81,118,229,145,85,39,143,97,53,145,71,176,53,142,77,105,102,163,80
"ENSMUSG00000001225",33,16,11,23,18,9,33,33,0,23,46,13,12,11,22,4,4,19,21,0,16,67,7,10,15,10,16,78,39,0,15,3,14,22,11,26,10,98
"ENSMUSG00000001247",11,4,9,12,40,0,9,10,0,19,12,4,6,9,7,8,16,17,15,3,26,16,7,6,0,3,11,23,1,6,13,6,6,2,35,4,14,27
"ENSMUSG00000001260",4,10,8,5,1,7,3,1,6,4,4,0,4,2,12,2,4,4,44,14,10,2,2,23,12,8,9,0,23,23,19,8,30,2,4,7,10,0
"ENSMUSG00000001280",3,20,8,15,11,5,7,9,3,4,27,5,12,7,5,10,10,9,7,9,2,12,0,13,5,35,11,8,7,11,4,6,8,0,2,4,10,5
"ENSMUSG00000001300",45,28,21,18,73,23,63,57,0,32,18,22,27,20,56,25,29,37,33,23,52,66,10,19,5,19,27,83,27,0,8,11,40,50,4,52,34,106
"ENSMUSG00000001376",6,0,0,0,4,0,0,3,3,9,9,2,3,0,2,0,6,2,0,3,0,5,5,4,5,0,0,5,4,6,2,0,1,5,2,0,2,1
"ENSMUSG00000001383",14,10,8,5,22,2,7,16,0,4,12,0,1,5,12,21,14,20,4,0,10,18,0,13,7,29,5,6,13,14,0,3,14,0,15,7,4,14
"ENSMUSG00000001440",3,2,2,2,3,9,2,1,0,3,2,0,0,0,0,6,4,4,1,0,6,8,3,0,0,0,2,0,6,3,0,11,3,0,2,7,0,2
"ENSMUSG00000001441",92,107,79,320,22,104,32,43,252,109,171,178,81,104,83,22,183,50,51,199,212,27,153,125,189,80,148,43,133,320,125,165,59,106,188,113,175,54
"ENSMUSG00000001467",3,0,0,3,5,9,2,0,0,0,7,4,1,9,4,4,3,2,1,6,0,3,0,2,0,5,5,0,1,0,2,0,3,0,2,2,0,0
"ENSMUSG00000001472",18,12,19,25,28,9,16,30,3,19,9,20,32,27,24,26,19,20,16,0,14,26,9,23,7,8,27,24,3,11,4,6,26,12,7,17,8,7
"ENSMUSG00000001497",0,8,2,0,1,57,6,1,6,9,4,5,37,2,4,2,0,1,1,3,0,0,3,4,5,11,14,0,7,0,8,3,3,2,0,0,0,0
"ENSMUSG00000001518",9,18,15,15,0,20,5,2,29,10,25,15,5,9,10,2,16,2,4,6,14,4,19,10,10,6,7,12,13,14,8,17,3,2,28,20,12,5
"ENSMUSG00000001525",0,4,4,2,1,5,0,0,6,7,0,0,4,23,1,4,3,2,1,0,0,0,3,2,0,0,7,1,20,0,4,6,3,12,4,2,6,0
"ENSMUSG00000001542",8,4,8,12,15,27,17,33,3,17,9,11,10,0,11,60,13,32,21,14,4,16,9,10,5,19,16,10,14,3,15,0,26,14,15,2,14,6
"ENSMUSG00000001552",5,8,4,13,10,5,3,7,0,9,5,11,8,2,4,2,8,7,9,14,16,12,0,4,0,11,7,7,10,6,11,8,6,0,11,0,0,2
"ENSMUSG00000001583",13,6,4,23,11,7,13,14,10,20,5,20,27,7,19,3,6,4,20,12,8,8,23,4,0,35,2,12,10,6,15,0,8,2,4,9,10,9
"ENSMUSG00000001627",40,34,4,15,122,20,19,40,0,20,11,20,23,23,27,40,60,31,22,14,36,43,24,15,2,33,16,18,10,17,19,11,47,0,52,9,14,28
"ENSMUSG00000001632",0,0,0,0,4,0,2,7,3,0,4,4,4,0,6,4,5,2,0,0,0,3,0,2,5,0,14,2,0,3,0,0,6,5,0,2,8,0
"ENSMUSG00000001642",1,22,9,0,3,138,12,1,22,42,12,25,131,38,33,6,3,2,14,17,8,0,38,33,29,38,78,11,65,26,40,34,47,0,24,20,12,0
"ENSMUSG00000001670",4,0,0,7,6,0,3,4,0,4,2,0,1,0,6,3,8,6,4,6,4,1,0,0,0,0,0,5,3,0,0,0,3,10,0,2,4,2
"ENSMUSG00000001672",53,36,70,10,56,36,72,50,6,49,27,22,35,29,77,52,88,54,24,63,44,48,37,48,20,32,19,101,94,6,32,62,44,26,46,46,54,106
"ENSMUSG00000001687",3,26,13,8,18,20,17,22,6,16,14,13,9,11,25,33,5,21,4,12,16,18,9,21,10,60,4,24,10,11,9,8,23,22,7,17,20,32
"ENSMUSG00000001767",4,0,0,7,2,5,2,2,0,1,0,11,4,9,4,2,5,3,1,0,0,3,5,2,0,6,4,6,1,0,0,0,5,5,4,0,0,1
"ENSMUSG00000001768",10,8,4,15,26,9,16,22,0,9,4,7,1,5,12,20,15,15,14,12,10,28,9,13,22,3,12,20,12,23,6,8,18,19,4,9,8,18
"ENSMUSG00000001774",5,0,6,10,2,2,7,1,13,7,0,4,1,7,1,3,3,5,2,6,6,3,12,2,5,2,4,5,0,0,4,8,1,5,2,0,6,8
"ENSMUSG00000001833",38,30,21,27,50,39,31,181,61,21,45,29,44,36,33,117,53,62,47,26,16,56,28,37,37,30,41,19,45,31,25,11,47,17,9,26,22,11
"ENSMUSG00000001844",19,4,0,7,20,11,9,18,6,14,0,15,1,0,16,13,9,5,9,6,4,11,7,8,7,3,11,14,3,6,9,6,8,7,0,2,4,22
"ENSMUSG00000001891",46,43,28,29,72,5,32,57,13,24,4,4,28,18,39,46,40,59,15,35,32,34,16,4,0,14,16,19,19,14,15,17,37,24,24,4,36,20
"ENSMUSG00000002028",36,14,13,20,31,9,14,33,16,6,34,35,42,11,18,31,7,22,51,9,6,37,21,12,22,22,11,24,27,11,23,3,49,14,7,9,24,37
"ENSMUSG00000002052",15,8,9,8,12,2,10,20,3,7,5,4,13,7,16,12,5,15,17,9,10,13,12,17,7,3,12,25,19,6,8,3,16,7,4,2,10,19
"ENSMUSG00000002055",3,0,53,5,0,45,5,1,3,3,5,4,1,20,4,1,0,1,8,3,4,0,7,2,2,0,2,2,1,9,13,3,1,7,9,4,2,4
"ENSMUSG00000002064",23,12,4,3,32,0,13,6,0,11,0,4,22,5,8,9,6,15,2,0,20,10,2,2,0,14,11,10,7,9,0,8,19,0,7,13,6,13
"ENSMUSG00000002102",0,0,8,3,4,0,6,4,6,0,0,0,8,0,0,10,5,8,3,3,4,9,2,0,0,0,9,6,1,0,2,0,4,5,0,2,2,2
"ENSMUSG00000002107",1,10,9,3,4,29,6,12,22,11,7,0,14,25,8,58,8,21,5,9,12,4,38,10,15,11,9,0,1,20,9,11,24,7,7,2,36,2
"ENSMUSG00000002147",3,6,9,3,10,5,5,7,3,9,7,4,0,5,2,7,7,9,4,12,2,7,2,6,5,6,4,2,4,0,2,0,6,0,0,2,0,2
"ENSMUSG00000002221",9,12,6,12,0,16,3,3,0,7,7,7,10,5,7,2,10,5,17,17,6,2,2,8,12,14,2,1,1,9,8,8,7,5,17,11,2,2
"ENSMUSG00000002222",9,6,23,7,7,5,9,5,26,4,20,4,4,2,7,5,11,6,10,3,10,7,21,15,22,10,2,4,6,11,4,14,11,7,4,11,18,7
"ENSMUSG00000002233",39,28,0,7,69,9,21,30,0,44,4,7,17,5,6,9,21,22,13,12,24,27,7,15,0,29,19,25,12,23,11,6,19,0,26,2,16,19
"ENSMUSG00000002265",3,6,15,0,0,14,2,3,16,6,7,2,6,5,4,1,7,1,1,3,8,1,3,10,20,3,5,2,1,11,11,8,4,2,7,7,2,2
"ENSMUSG00000002297",4,22,11,3,4,82,6,9,26,30,4,22,74,45,28,10,16,8,7,17,6,2,19,10,64,37,35,4,29,20,17,17,18,19,20,9,28,2
"ENSMUSG00000002307",1,4,4,15,18,7,22,7,3,11,4,4,8,0,11,10,21,7,4,17,6,4,9,6,0,11,4,6,19,14,11,20,14,0,13,2,4,5
"ENSMUSG00000002413",5,12,6,25,8,23,9,9,22,7,0,27,17,0,10,42,14,21,1,37,14,4,12,10,47,21,12,8,17,31,13,22,14,7,4,17,14,19
"ENSMUSG00000002428",4,4,2,8,1,2,0,3,10,1,4,0,5,0,2,6,1,5,0,12,2,2,0,6,2,2,2,4,0,0,6,0,5,2,2,2,2,0
"ENSMUSG00000002455",10,4,15,3,19,2,5,5,0,1,11,4,8,16,4,10,9,9,4,3,2,11,2,10,7,3,4,4,3,11,6,0,9,0,0,2,8,9
"ENSMUSG00000002625",4,0,0,2,9,2,6,4,0,3,4,5,6,5,2,5,2,4,1,3,0,3,9,4,10,6,4,4,3,0,2,3,4,2,0,4,2,1
"ENSMUSG00000002733",4,0,0,0,5,0,2,7,3,1,2,5,3,2,0,4,0,2,3,0,6,3,5,0,0,2,2,2,1,3,4,0,3,2,0,9,4,11
"ENSMUSG00000002748",10,24,17,25,16,45,25,22,13,14,32,13,38,32,6,25,12,23,29,3,8,15,30,33,7,14,37,33,26,11,23,11,26,12,9,9,20,21
"ENSMUSG00000002778",3,4,8,7,7,2,3,24,6,0,2,2,4,0,1,2,4,4,1,0,0,1,5,2,0,2,2,8,0,6,4,3,0,2,9,4,6,1
"ENSMUSG00000002797",3,4,0,2,1,5,2,6,0,1,2,2,5,7,4,6,8,6,8,3,0,2,7,0,0,3,2,1,6,3,8,3,9,5,4,0,2,2
"ENSMUSG00000002803",1,0,0,0,0,2,2,530,0,0,0,4,14,2,10,0,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000002881",6,2,6,7,6,5,2,16,13,0,4,16,4,7,2,32,19,12,5,9,2,10,12,12,2,8,12,8,0,9,0,14,13,5,11,2,24,5
"ENSMUSG00000002885",0,0,0,0,2,20,2,15,3,10,2,0,15,5,4,25,3,11,1,0,6,1,5,2,0,3,7,0,7,0,0,0,9,0,2,0,6,0
"ENSMUSG00000002910",3,4,0,7,5,2,4,4,0,3,0,0,1,0,0,1,1,7,2,0,0,5,0,0,0,0,0,4,0,0,4,0,3,0,0,4,0,11
"ENSMUSG00000002957",3,0,0,0,7,5,3,2,0,3,2,5,3,0,1,2,4,7,3,0,0,5,2,0,0,0,0,2,0,6,4,0,8,0,9,2,12,2
"ENSMUSG00000002983",1,4,4,0,6,2,5,6,0,0,5,0,1,2,2,3,3,3,7,0,4,4,0,0,0,0,0,4,0,6,9,0,6,0,4,0,4,0
"ENSMUSG00000002996",13,10,11,8,7,2,21,17,0,7,7,16,15,5,10,22,13,8,16,0,14,16,0,10,2,11,11,6,1,6,4,3,14,2,2,0,12,2
"ENSMUSG00000002997",4,0,8,0,2,2,2,2,0,0,0,0,8,0,2,14,3,6,0,9,8,2,3,0,0,2,5,1,0,0,0,6,18,0,0,0,4,6
"ENSMUSG00000003031",8,8,11,2,14,5,10,12,6,4,11,20,3,5,6,14,8,8,7,3,10,15,5,10,10,10,2,6,16,3,0,0,9,2,9,0,10,11
"ENSMUSG00000003032",186,132,184,262,161,227,207,283,35,223,255,173,328,216,372,148,152,215,218,127,202,301,134,194,64,267,240,100,229,88,195,84,240,103,72,174,278,141
"ENSMUSG00000003039",24,8,15,15,44,0,14,31,10,21,14,7,31,7,12,37,18,33,37,3,26,34,26,25,7,10,19,14,13,9,6,8,33,2,17,11,4,11
"ENSMUSG00000003051",10,18,4,0,18,0,5,3,6,0,7,11,0,11,8,6,10,5,13,3,0,11,7,0,0,22,7,2,7,14,4,0,5,2,9,7,4,5
"ENSMUSG00000003062",5,0,0,3,10,0,2,4,0,1,4,5,1,5,5,4,5,2,0,3,2,1,7,2,5,3,5,2,3,0,6,6,3,0,0,4,0,0
"ENSMUSG00000003119",28,18,19,10,38,16,33,31,6,21,27,33,28,7,39,24,22,26,30,14,8,38,28,21,5,41,27,37,30,3,30,17,35,19,7,15,14,13
"ENSMUSG00000003131",0,8,11,3,2,2,6,0,3,0,0,0,5,2,4,2,1,3,0,0,4,3,7,4,2,5,11,0,6,11,4,0,2,7,7,26,14,35
"ENSMUSG00000003153",16,126,53,17,1,25,37,7,93,49,59,0,5,0,2,12,3,14,2,0,86,3,30,8,0,14,0,1,0,0,6,0,5,17,0,2,153,42
"ENSMUSG00000003154",6,8,8,0,33,9,25,12,0,13,11,5,5,18,11,11,12,7,4,9,32,13,7,12,7,6,7,18,1,0,15,11,9,10,17,4,6,6
"ENSMUSG00000003161",20,10,11,15,28,32,9,20,3,11,11,5,1,16,17,25,16,19,25,20,4,18,10,15,5,22,16,14,19,17,13,14,14,10,9,4,14,5
"ENSMUSG00000003226",13,6,6,15,10,14,3,14,0,13,5,0,9,0,10,34,12,17,7,3,8,14,12,10,2,21,11,11,1,9,11,6,15,5,20,4,10,9
"ENSMUSG00000003279",1,6,4,2,2,7,2,4,6,3,4,7,12,7,7,3,3,3,7,3,4,2,2,4,29,5,5,1,3,14,15,11,1,0,4,2,8,2
"ENSMUSG00000003308",6,0,0,2,5,5,6,2,0,3,0,4,9,5,5,5,3,4,1,0,8,9,2,2,0,6,4,12,12,0,2,6,8,2,0,2,4,0
"ENSMUSG00000003316",0,4,0,8,4,5,1,9,0,0,4,0,5,0,2,3,3,6,8,0,0,4,3,0,2,0,7,4,3,0,4,0,6,7,15,0,0,0
"ENSMUSG00000003345",0,4,0,0,4,7,0,2,3,3,0,5,0,5,5,4,5,3,1,0,0,2,9,4,5,0,4,1,3,0,4,0,3,0,0,0,0,0
"ENSMUSG00000003360",5,0,2,7,11,0,6,5,0,7,4,2,0,0,4,2,8,3,0,0,0,1,0,2,5,8,0,1,1,0,0,0,5,5,2,2,4,4
"ENSMUSG00000003382",19,26,4,12,22,186,31,24,13,52,12,18,68,68,53,14,23,13,20,29,26,18,30,25,52,53,57,29,77,17,32,17,18,26,7,24,14,12
"ENSMUSG00000003452",4,12,15,3,4,16,6,1,38,13,7,9,9,7,5,6,11,5,16,20,14,3,16,19,47,21,19,4,19,51,60,17,4,10,31,11,10,8
"ENSMUSG00000003458",3,8,9,2,22,0,17,8,0,3,0,0,4,0,2,9,10,4,3,9,16,2,3,2,5,2,9,10,1,3,2,11,3,0,2,0,4,8
"ENSMUSG00000003500",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,82,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000003518",3,0,0,5,5,0,4,4,0,3,0,2,3,5,1,3,3,3,0,9,2,5,7,4,0,2,2,1,3,0,2,3,1,0,7,4,0,0
"ENSMUSG00000003534",1,2,0,0,8,5,8,1,0,7,2,0,0,2,5,2,5,3,3,6,8,5,0,0,2,0,5,2,4,0,0,0,4,12,7,7,2,0
"ENSMUSG00000003541",0,0,0,0,3,0,0,5,0,1,0,0,0,0,6,25,3,6,1,0,0,0,9,2,2,2,0,0,0,0,0,0,11,0,0,0,0,0
"ENSMUSG00000003545",18,18,28,64,24,27,23,32,3,16,14,29,19,20,59,59,14,42,35,35,14,27,16,13,5,24,27,5,26,23,26,17,22,5,9,37,64,7
"ENSMUSG00000003721",13,18,19,13,12,14,14,27,0,13,4,7,14,7,11,15,35,20,10,0,6,17,10,17,0,6,14,13,9,0,9,14,18,0,24,17,10,4
"ENSMUSG00000003746",3,6,8,3,4,0,5,1,3,11,9,5,3,0,6,5,5,4,0,12,8,5,3,4,10,2,2,4,1,17,4,0,4,2,7,7,2,0
"ENSMUSG00000003778",6,2,4,8,6,0,2,2,0,3,2,2,3,2,6,2,5,5,2,3,0,1,7,0,20,0,4,1,6,0,6,8,5,5,11,2,8,13
"ENSMUSG00000003812",6,6,6,0,7,7,4,5,0,4,11,0,8,5,5,6,13,9,3,0,8,9,0,4,12,5,2,14,10,0,0,3,7,0,4,15,0,12
"ENSMUSG00000003814",0,4,2,2,7,5,3,7,0,0,0,0,0,2,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,3,4,0,4,0,0,9,4,6
"ENSMUSG00000003847",14,2,8,10,11,11,13,20,3,19,11,5,13,18,5,26,22,14,3,14,4,17,7,8,22,3,11,2,22,14,15,3,17,24,11,4,22,11
"ENSMUSG00000004040",9,6,9,13,14,5,5,34,3,3,16,11,17,27,21,75,10,19,17,6,20,16,21,2,0,16,7,2,14,0,11,11,18,2,0,9,10,8
"ENSMUSG00000004044",10,2,0,0,2,2,0,1,0,3,0,5,3,5,6,8,8,6,0,3,0,2,5,2,10,2,2,0,1,0,2,3,0,2,2,11,0,0
"ENSMUSG00000004096",11,8,2,10,12,5,6,8,13,0,5,4,5,2,2,11,9,10,13,0,8,16,5,8,0,10,5,11,9,6,0,11,13,2,0,4,0,21
"ENSMUSG00000004110",4,16,34,8,22,14,6,3,6,1,12,25,10,11,10,5,10,5,27,17,16,10,65,31,69,3,5,10,10,3,8,11,6,0,9,17,10,5
"ENSMUSG00000004151",0,16,4,0,1,2,2,2,10,4,5,5,5,2,4,1,1,1,0,6,4,2,10,4,22,5,2,11,6,17,2,6,2,2,0,0,8,1
"ENSMUSG00000004317",6,18,13,12,2,7,5,4,35,7,7,4,6,16,6,3,5,3,23,46,0,5,3,2,118,6,25,5,12,29,0,6,4,17,39,15,6,4
"ENSMUSG00000004319",6,14,28,8,7,11,32,14,16,10,27,13,29,29,40,11,13,24,16,23,6,15,19,50,20,16,25,17,30,6,34,3,28,7,17,41,40,15
"ENSMUSG00000004347",1,0,13,2,0,9,4,2,6,6,20,11,3,7,5,2,3,1,3,12,4,0,10,2,12,6,7,0,4,11,11,8,1,0,2,13,24,2
"ENSMUSG00000004356",1,6,0,0,2,0,2,1,10,3,5,0,15,0,0,0,3,2,8,6,2,0,16,4,0,0,5,2,1,0,2,0,3,12,7,7,20,5
"ENSMUSG00000004360",19,8,2,8,0,5,8,2,19,11,5,40,5,68,13,1,2,2,4,3,20,16,5,4,2,8,5,1,1,6,8,6,1,0,4,7,2,5
"ENSMUSG00000004364",5,18,8,12,23,7,9,19,0,7,2,4,5,18,15,22,8,14,8,6,16,11,7,8,0,5,7,11,6,3,8,8,18,5,9,0,10,9
"ENSMUSG00000004451",6,4,4,0,10,5,2,4,6,1,4,0,3,0,10,11,3,3,9,0,4,6,3,10,2,3,0,2,3,3,0,6,11,14,4,7,6,0
"ENSMUSG00000004508",3,4,4,3,9,0,2,5,0,1,7,4,4,9,2,4,2,10,2,0,4,5,2,10,5,6,0,0,0,3,2,11,6,7,13,2,4,5
