gene index	a_n	m	resub	bresub
[127,248]	[0.0230  -0.0115]	-3.4970	0.0667	0.1385
[127,253]	[0.0194  -0.0182]	-2.5533	0.0667	0.1157
[127,255]	[0.0466  0.0606]	-9.6169	0.1333	0.1484
[127,258]	[0.0195  -0.0093]	-2.9347	0.0667	0.1337
[127,262]	[0.0202  0.0079]	-3.6634	0.0667	0.1458
[127,266]	[0.0211  -0.0038]	-3.3085	0.0667	0.1489
[127,267]	[0.0423  0.0380]	-12.6883	0.0000	0.1430
[127,269]	[0.0188  0.0131]	-3.3842	0.0667	0.1339
[127,273]	[0.0197  -0.0042]	-3.1209	0.0667	0.1196
[127,278]	[0.0191  -0.0032]	-3.0068	0.0667	0.1486
[127,280]	[0.0203  0.0228]	-3.7653	0.0667	0.1443
[127,289]	[0.0186  0.0149]	-3.7428	0.0667	0.1155
[127,294]	[0.0193  0.0054]	-3.2647	0.0667	0.1331
[127,295]	[0.0195  -0.0038]	-3.1094	0.0667	0.1272
[127,298]	[0.0190  0.0301]	-3.9555	0.0667	0.1261
[127,314]	[0.0196  -0.0077]	-2.9762	0.0667	0.1464
[127,316]	[0.0237  0.0085]	-4.5262	0.0667	0.1427
[127,326]	[0.0242  -0.0256]	-3.1698	0.0667	0.1461
[127,339]	[0.0199  -0.0064]	-3.1438	0.0667	0.1178
[127,346]	[0.0182  0.0084]	-3.0900	0.0667	0.1003
[127,348]	[0.0192  -0.0020]	-3.0938	0.0667	0.1200
[127,351]	[0.0191  0.0035]	-3.2657	0.0667	0.1288
[127,357]	[0.0193  0.0067]	-3.3022	0.0667	0.1220
[127,359]	[0.0195  -0.0025]	-3.1412	0.0667	0.1193
[127,363]	[0.0210  0.0187]	-4.2195	0.0667	0.1469
[127,365]	[0.0196  -0.0050]	-3.1061	0.0667	0.1417
[127,368]	[0.0192  -0.0017]	-3.1042	0.0667	0.1266
[127,370]	[0.0186  0.0145]	-3.3734	0.0667	0.1389
[127,386]	[0.0297  -0.0364]	-2.7199	0.0667	0.1404
[127,388]	[0.0485  0.0167]	-10.0174	0.0667	0.1318
[127,392]	[0.0186  0.0033]	-3.1942	0.0667	0.1382
[127,394]	[0.0219  -0.0178]	-3.1059	0.0667	0.1284
[127,404]	[0.0158  0.0146]	-3.0910	0.0667	0.1430
[127,405]	[0.0433  0.0570]	-8.8619	0.0000	0.1106
[127,422]	[0.0191  -0.0091]	-2.9596	0.0667	0.1164
[127,429]	[0.0167  0.0348]	-3.2131	0.0667	0.1459
[127,433]	[0.0211  -0.0175]	-2.9740	0.0667	0.1354
[127,442]	[0.0201  0.0039]	-3.4699	0.0667	0.1424
[127,448]	[0.0174  0.0103]	-3.3607	0.0667	0.1494
[127,456]	[0.0380  0.0111]	-7.8530	0.0667	0.1253
[129,417]	[-0.0247  0.0615]	-1.7125	0.1333	0.1436
[139,207]	[-0.0241  -0.0349]	4.1640	0.0667	0.1480
[175,454]	[0.1362  0.1137]	-6.2892	0.0000	0.1201
[181,454]	[0.1194  0.0946]	-6.4287	0.1333	0.1498
[207,401]	[-0.0293  -0.0631]	3.0092	0.1333	0.1445
[210,417]	[-0.0756  0.0771]	2.4038	0.0000	0.1331
[244,417]	[0.0297  0.0497]	-2.8152	0.1333	0.1494
[286,417]	[0.1186  0.0686]	-4.2686	0.0667	0.1394
[286,454]	[0.1175  0.0776]	-4.4636	0.0667	0.1217
[294,417]	[-0.0160  0.0548]	-1.6058	0.1333	0.1448
[296,456]	[0.0077  0.0088]	-5.2545	0.0667	0.1270
[303,417]	[0.1016  0.0753]	-5.2945	0.0667	0.1450
[327,417]	[0.0344  0.0512]	-4.7568	0.0667	0.1349
[355,404]	[0.1062  0.0468]	-4.0273	0.0667	0.1493
[401,454]	[-0.0492  0.0619]	-1.1084	0.0667	0.1226
[403,454]	[0.0644  0.1041]	-7.7188	0.0667	0.1375
[404,417]	[0.0344  0.0547]	-3.1772	0.1333	0.1304
[404,454]	[0.0341  0.0612]	-3.3107	0.2000	0.1418
[405,417]	[0.0287  0.0697]	-3.2986	0.0667	0.1460
[409,421]	[-0.0952  -0.0979]	6.4915	0.0667	0.1442
[417,420]	[0.0549  0.0750]	-2.9967	0.1333	0.1361
[417,434]	[0.0538  0.0868]	-3.5003	0.1333	0.1388
[429,454]	[0.0578  0.0584]	-2.7921	0.2000	0.1450
[434,454]	[0.2607  0.1280]	-9.3145	0.0000	0.1131
