"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
99,104,139,0.0399,"Edn1","Vcan","Slc38a1",0.1255,0.3462,0.1531,0.072,0.072,0.072,0.072
99,139,410,0.0479,"Edn1","Slc38a1","Fut9",0.1175,0.1451,0.3559,0.072,0.072,0.072,0.072
139,305,315,0.0496,"Slc38a1","Rpsa","Ctnnd1",0.1434,0.069,0.3245,0.0061,0.072,0.0177,0.0061
139,305,386,0.0409,"Slc38a1","Rpsa","Hoxb13",0.1521,0.0777,0.208,0.0148,0.072,0.072,0.0148
152,305,315,0.0431,"Hspa9","Rpsa","Ctnnd1",0.1864,0.0755,0.331,0.072,0.072,0.0242,0.0242
305,315,438,0.0498,"Rpsa","Ctnnd1","Gpx1",0.0688,0.3243,0.1719,0.0175,0.072,0.072,0.0175
