"Gene.Number","bresub","Gene.Name"
215,0.3001,"Pag1"
216,0.4637,"Pck1"
217,0.2019,"Car1"
218,0.2218,"Car2"
219,0.4786,"Pik3ca"
220,0.504,"Mecom"
221,0.4938,"Tnik"
222,0.4273,"Pld1"
223,0.3198,"Slc7a11"
224,0.522,"Dclk1"
225,0.5127,"Nras"
226,0.3759,"Notch2"
227,0.3832,"Tpm3"
228,0.308,"Slc35a3"
229,0.4832,"Ptgfr"
230,0.2305,"Gclm"
231,0.436,"Nfkb1"
232,0.5092,"Wls"
233,0.3965,"Bcl10"
234,0.484,"Map3k7"
235,0.3684,"Slc35a1"
236,0.4163,"Xpa"
237,0.456,"Ptprd"
238,0.5132,"Slc44a1"
239,0.3753,"Plin2"
240,0.4128,"Slc35d1"
241,0.3642,"Pde4b"
242,0.3781,"Jak1"
243,0.3973,"Plaa"
244,0.4611,"Scp2"
245,0.4403,"Slc2a1"
246,0.3792,"Gnl2"
247,0.2121,"Sema3a"
248,0.4708,"Bst1"
249,0.4395,"Prom1"
250,0.4896,"Dnajb6"
251,0.2499,"Ppargc1a"
252,0.5506,"Slc34a2"
253,0.4541,"Slc30a9"
254,0.4908,"Rest"
255,0.3627,"Fgf5"
256,0.4493,"P2rx4"
257,0.5007,"Anxa3"
258,0.4123,"Ep400"
259,0.4517,"Foxp2"
260,0.322,"Actb"
261,0.5422,"Pdap1"
262,0.3245,"Cdk8"
263,0.3164,"Cald1"
264,0.1673,"Foxp1"
265,0.4745,"Slc6a6"
266,0.3386,"Olr1"
267,0.4806,"Kdm5a"
268,0.4752,"Kras"
269,0.4033,"Atg7"
270,0.2986,"Scnn1a"
271,0.478,"Cd9"
272,0.433,"Tjp1"
273,0.4901,"Far1"
274,0.5449,"Aqp8"
275,0.3536,"Tgfb1i1"
276,0.3159,"Itgam"
277,0.4012,"Scnn1b"
278,0.4177,"Stim1"
279,0.3528,"Cask"
280,0.5606,"Slc35a2"
281,0.4174,"Efnb1"
282,0.4315,"Car5b"
283,0.4269,"Tsc22d3"
284,0.3564,"Tnfsf13b"
285,0.4527,"Polb"
286,0.4267,"Ikbkb"
287,0.5022,"Slit2"
288,0.2912,"Gsr"
289,0.3837,"Casp3"
290,0.564,"Rbl2"
291,0.4607,"Aktip"
292,0.4552,"Il15"
293,0.376,"Mt1"
294,0.3804,"Has3"
295,0.4442,"Egln1"
296,0.3927,"Plet1"
297,0.2952,"Apoa1"
298,0.3972,"Ilf3"
299,0.4214,"Gcnt3"
300,0.3913,"Cgnl1"
301,0.456,"Pkm"
302,0.4648,"Car12"
303,0.438,"Slc25a36"
304,0.353,"Ptgs2"
305,0.1186,"Rpsa"
306,0.3168,"Slco2a1"
307,0.451,"Gnai2"
308,0.3735,"Nlrp3"
309,0.4346,"Acsl3"
310,0.2895,"Slc16a1"
311,0.3405,"Hspa13"
312,0.5135,"Foxj3"
313,0.2842,"Atg9a"
314,0.3732,"Lpar6"
315,0.3741,"Ctnnd1"
316,0.2373,"Slc25a37"
317,0.3431,"Slc26a2"
318,0.3916,"Map2k2"
319,0.4279,"Becn1"
320,0.2366,"Egln3"
321,0.4945,"Arhgap5"
322,0.431,"Emsy"
323,0.3683,"Foxa1"
324,0.3075,"Gadd45a"
