"Gene.Number","bresub","Gene.Name"
215,0.2087,"Pag1"
216,0.253,"Pck1"
217,0.3275,"Car1"
218,0.3044,"Car2"
219,0.3043,"Pik3ca"
220,0.3047,"Mecom"
221,0.258,"Tnik"
222,0.1697,"Pld1"
223,0.3052,"Slc7a11"
224,0.2552,"Dclk1"
225,0.3043,"Nras"
226,0.31,"Notch2"
227,0.2089,"Tpm3"
228,0.2984,"Slc35a3"
229,0.3043,"Ptgfr"
230,0.3049,"Gclm"
231,0.3043,"Nfkb1"
232,0.3,"Wls"
233,0.2899,"Bcl10"
234,0.3043,"Map3k7"
235,0.235,"Slc35a1"
236,0.2033,"Xpa"
237,0.3045,"Ptprd"
238,0.2141,"Slc44a1"
239,0.1956,"Plin2"
240,0.3043,"Slc35d1"
241,0.3051,"Pde4b"
242,0.3042,"Jak1"
243,0.2674,"Plaa"
244,0.3043,"Scp2"
245,0.196,"Slc2a1"
246,0.3043,"Gnl2"
247,0.2618,"Sema3a"
248,0.3003,"Bst1"
249,0.3043,"Prom1"
250,0.3043,"Dnajb6"
251,0.1786,"Ppargc1a"
252,0.2331,"Slc34a2"
253,0.3043,"Slc30a9"
254,0.3012,"Rest"
255,0.3122,"Fgf5"
256,0.2929,"P2rx4"
257,0.3043,"Anxa3"
258,0.3043,"Ep400"
259,0.2936,"Foxp2"
260,0.2009,"Actb"
261,0.2893,"Pdap1"
262,0.2807,"Cdk8"
263,0.2862,"Cald1"
264,0.2595,"Foxp1"
265,0.3043,"Slc6a6"
266,0.3048,"Olr1"
267,0.2611,"Kdm5a"
268,0.2779,"Kras"
269,0.305,"Atg7"
270,0.3043,"Scnn1a"
271,0.3043,"Cd9"
272,0.1833,"Tjp1"
273,0.3043,"Far1"
274,0.2799,"Aqp8"
275,0.2315,"Tgfb1i1"
276,0.3045,"Itgam"
277,0.3077,"Scnn1b"
278,0.2966,"Stim1"
279,0.3043,"Cask"
280,0.287,"Slc35a2"
281,0.3043,"Efnb1"
282,0.3043,"Car5b"
283,0.3053,"Tsc22d3"
284,0.3043,"Tnfsf13b"
285,0.3043,"Polb"
286,0.2731,"Ikbkb"
287,0.2862,"Slit2"
288,0.3434,"Gsr"
289,0.1962,"Casp3"
290,0.3043,"Rbl2"
291,0.2769,"Aktip"
292,0.205,"Il15"
293,0.3043,"Mt1"
294,0.3043,"Has3"
295,0.3004,"Egln1"
296,0.3318,"Plet1"
297,0.2665,"Apoa1"
298,0.3043,"Ilf3"
299,0.3043,"Gcnt3"
300,0.232,"Cgnl1"
301,0.3028,"Pkm"
302,0.3016,"Car12"
303,0.2442,"Slc25a36"
304,0.3047,"Ptgs2"
305,0.2773,"Rpsa"
306,0.3084,"Slco2a1"
307,0.1918,"Gnai2"
308,0.3049,"Nlrp3"
309,0.2666,"Acsl3"
310,0.3043,"Slc16a1"
311,0.3043,"Hspa13"
312,0.3043,"Foxj3"
313,0.2836,"Atg9a"
314,0.3043,"Lpar6"
315,0.2954,"Ctnnd1"
316,0.3043,"Slc25a37"
317,0.2925,"Slc26a2"
318,0.3043,"Map2k2"
319,0.3035,"Becn1"
320,0.1638,"Egln3"
321,0.2238,"Arhgap5"
322,0.3043,"Emsy"
323,0.2171,"Foxa1"
324,0.21,"Gadd45a"
325,0.3043,"Cdc42ep3"
326,0.2808,"Foxa2"
327,0.3043,"Kdm6a"
328,0.2241,"Muc3"
329,0.0982,"Cdkn1c"
330,0.3043,"Atp8a1"
331,0.3043,"Cd81"
332,0.247,"Ctnna1"
333,0.3048,"Aim2"
334,0.2372,"Ormdl3"
335,0.2384,"Slc43a2"
336,0.3043,"Hoxa9"
337,0.3295,"F11r"
338,0.2624,"Hoxa5"
339,0.3043,"Slc22a23"
340,0.3043,"Nfe2l1"
341,0.1982,"Lpar1"
342,0.2581,"Nlrp6"
343,0.2867,"Irs2"
344,0.2742,"Marchf6"
345,0.3041,"Camk1d"
346,0.2976,"Rbpj"
347,0.199,"Il18"
348,0.302,"Tgfb2"
349,0.2646,"Prss23"
350,0.3043,"Ncam1"
351,0.3043,"Ptger4"
352,0.2756,"Hip1"
353,0.1699,"Lats1"
354,0.3049,"Thbs1"
355,0.3043,"Cdk6"
356,0.2515,"Abcb1a"
357,0.2511,"Cept1"
358,0.3043,"Foxa3"
359,0.3043,"Car8"
360,0.3043,"Pik3r1"
361,0.3049,"Irf8"
362,0.3043,"Il17f"
363,0.3043,"Znrf3"
364,0.2962,"Agps"
365,0.3038,"Mgat3"
366,0.2921,"Hoxd11"
367,0.175,"Mapk6"
368,0.2983,"Id1"
369,0.3044,"Flt3"
370,0.3011,"Ptpn11"
371,0.321,"Foxo1"
372,0.0777,"Dsg2"
373,0.3043,"Tlr7"
374,0.3054,"Fzd1"
375,0.3043,"Prkce"
376,0.2642,"Epcam"
377,0.3049,"Hcar2"
378,0.3045,"Fpr1"
379,0.3065,"Cd24a"
380,0.3043,"Zbtb33"
381,0.3043,"Nrip1"
382,0.3043,"Foxo3"
383,0.3043,"Slc39a9"
384,0.307,"Arhgap30"
385,0.2466,"Krt8"
386,0.2674,"Hoxb13"
387,0.3028,"Slc17a5"
388,0.3048,"Gja8"
389,0.3043,"Lgr4"
390,0.3043,"Foxc1"
391,0.2572,"Lgals3"
392,0.2506,"Ftl1"
393,0.3397,"Prkca"
394,0.2915,"Ffar2"
395,0.1759,"Cacna1c"
396,0.3043,"Ywhag"
397,0.3042,"Ttn"
398,0.1753,"Jun"
399,0.3079,"Prkcb"
400,0.3043,"Tcf4"
401,0.2964,"Lifr"
402,0.3043,"Rhob"
403,0.2866,"Ceacam2"
404,0.3062,"Slfn5"
405,0.3043,"Slc30a7"
406,0.1896,"Tle5"
407,0.3043,"Adam10"
408,0.3043,"Ddx17"
409,0.3043,"Foxd2"
410,0.2522,"Fut9"
411,0.3062,"Cldn23"
412,0.3163,"S100a8"
413,0.3045,"S100a9"
414,0.3171,"Socs6"
415,0.3066,"Cebpb"
416,0.3043,"Ptafr"
417,0.3043,"Birc2"
418,0.2575,"Mab21l2"
419,0.315,"Trim31"
420,0.2507,"Nfam1"
421,0.2142,"Tspan7"
422,0.3043,"Thra"
423,0.3043,"Septin9"
424,0.3044,"Hopx"
425,0.3062,"Max"
426,0.3043,"Ptk2b"
427,0.3128,"Tpt1"
428,0.2754,"Slc4a4"
429,0.3043,"Maml3"
430,0.179,"Dot1l"
431,0.3043,"Slc25a3"
432,0.3043,"Erbb2"
433,0.2982,"Actg1"
434,0.2992,"Acadm"
435,0.3043,"Mapk3"
436,0.3043,"Ldha"
437,0.3043,"Mapk1"
438,0.3043,"Gpx1"
