"Gene.A.Number","Gene.B.Number","bresub","Gene.A.Name","Gene.B.Name","Delta-Gene.A","Delta-Gene.B","Min.Delta"
13,77,0.0375,"Hltf","Egfr",0.2941,0.1121,0.1121
33,241,0.0158,"Slc30a4","Pde4b",0.1554,0.0981,0.0981
241,286,0.0285,"Pde4b","Ikbkb",0.0854,0.1429,0.0854
241,296,0.0498,"Pde4b","Plet1",0.0641,0.0999,0.0641
241,327,0.0491,"Pde4b","Kdm6a",0.0648,0.3144,0.0648
241,344,0.0456,"Pde4b","Marchf6",0.0683,0.3523,0.0683
241,393,0.0385,"Pde4b","Prkca",0.0754,0.2799,0.0754
