"Gene.Number","bresub","Gene.Name"
216,0.355,"Pck1"
217,0.2765,"Car1"
218,0.2453,"Car2"
219,0.3175,"Pik3ca"
220,0.4946,"Mecom"
221,0.4667,"Tnik"
222,0.2741,"Pld1"
223,0.2229,"Slc7a11"
224,0.431,"Dclk1"
225,0.2468,"Nras"
226,0.4529,"Notch2"
227,0.2964,"Tpm3"
228,0.4187,"Slc35a3"
229,0.4601,"Ptgfr"
230,0.2167,"Gclm"
231,0.4373,"Nfkb1"
232,0.5481,"Wls"
233,0.3412,"Bcl10"
234,0.3953,"Map3k7"
235,0.3964,"Slc35a1"
236,0.3256,"Xpa"
237,0.3716,"Ptprd"
238,0.3096,"Slc44a1"
239,0.2745,"Plin2"
240,0.4234,"Slc35d1"
241,0.2184,"Pde4b"
242,0.4048,"Jak1"
243,0.417,"Plaa"
244,0.393,"Scp2"
245,0.3664,"Slc2a1"
246,0.428,"Gnl2"
247,0.2517,"Sema3a"
248,0.4386,"Bst1"
249,0.5252,"Prom1"
250,0.3671,"Dnajb6"
251,0.3046,"Ppargc1a"
252,0.3942,"Slc34a2"
253,0.539,"Slc30a9"
254,0.4246,"Rest"
255,0.4386,"Fgf5"
256,0.3486,"P2rx4"
257,0.322,"Anxa3"
258,0.4667,"Ep400"
259,0.4305,"Foxp2"
260,0.4294,"Actb"
261,0.377,"Pdap1"
262,0.3636,"Cdk8"
263,0.3236,"Cald1"
264,0.3142,"Foxp1"
265,0.6439,"Slc6a6"
266,0.3275,"Olr1"
267,0.3303,"Kdm5a"
268,0.4084,"Kras"
269,0.4592,"Atg7"
270,0.2394,"Scnn1a"
271,0.4873,"Cd9"
272,0.2802,"Tjp1"
273,0.3643,"Far1"
274,0.2891,"Aqp8"
275,0.3302,"Tgfb1i1"
276,0.2818,"Itgam"
277,0.3178,"Scnn1b"
278,0.3988,"Stim1"
279,0.4491,"Cask"
280,0.448,"Slc35a2"
281,0.4018,"Efnb1"
282,0.4793,"Car5b"
283,0.2527,"Tsc22d3"
284,0.3921,"Tnfsf13b"
285,0.5129,"Polb"
286,0.3031,"Ikbkb"
287,0.4958,"Slit2"
288,0.3943,"Gsr"
289,0.3912,"Casp3"
290,0.456,"Rbl2"
291,0.3251,"Aktip"
292,0.3901,"Il15"
293,0.4667,"Mt1"
294,0.52,"Has3"
295,0.5077,"Egln1"
296,0.2257,"Plet1"
297,0.3888,"Apoa1"
298,0.3366,"Ilf3"
299,0.2937,"Gcnt3"
300,0.4667,"Cgnl1"
301,0.4671,"Pkm"
302,0.385,"Car12"
303,0.2683,"Slc25a36"
304,0.2767,"Ptgs2"
305,0.3274,"Rpsa"
306,0.3395,"Slco2a1"
307,0.3595,"Gnai2"
308,0.2187,"Nlrp3"
309,0.3464,"Acsl3"
310,0.306,"Slc16a1"
311,0.3854,"Hspa13"
312,0.4939,"Foxj3"
313,0.3525,"Atg9a"
314,0.4667,"Lpar6"
315,0.4,"Ctnnd1"
316,0.2152,"Slc25a37"
317,0.3034,"Slc26a2"
318,0.3037,"Map2k2"
319,0.4258,"Becn1"
320,0.4252,"Egln3"
321,0.3759,"Arhgap5"
322,0.3513,"Emsy"
323,0.3207,"Foxa1"
324,0.3817,"Gadd45a"
325,0.5247,"Cdc42ep3"
326,0.448,"Foxa2"
327,0.27,"Kdm6a"
328,0.3517,"Muc3"
329,0.2831,"Cdkn1c"
330,0.4293,"Atp8a1"
331,0.4285,"Cd81"
332,0.3734,"Ctnna1"
333,0.3904,"Aim2"
334,0.4667,"Ormdl3"
335,0.3514,"Slc43a2"
336,0.4305,"Hoxa9"
337,0.444,"F11r"
338,0.3214,"Hoxa5"
339,0.3422,"Slc22a23"
340,0.2684,"Nfe2l1"
341,0.4286,"Lpar1"
342,0.3411,"Nlrp6"
343,0.3429,"Irs2"
344,0.4667,"Marchf6"
345,0.3252,"Camk1d"
346,0.2942,"Rbpj"
347,0.3615,"Il18"
348,0.4818,"Tgfb2"
349,0.3522,"Prss23"
350,0.4423,"Ncam1"
