"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
29,33,241,0.0381,"Por","Slc30a4","Pde4b",0.1609,0.1331,0.0758,0.0498,0.0498,-0.0223,-0.0223
29,241,286,0.0492,"Por","Pde4b","Ikbkb",0.1498,0.0647,0.1222,0.0498,0.0498,-0.0207,-0.0207
29,241,296,0.0439,"Por","Pde4b","Plet1",0.1551,0.07,0.1058,0.0498,0.0498,0.0059,0.0059
30,33,241,0.0122,"Igf1r","Slc30a4","Pde4b",0.3996,0.159,0.1017,0.0498,0.0498,0.0036,0.0036
30,241,286,0.0416,"Igf1r","Pde4b","Ikbkb",0.3702,0.0723,0.1298,0.0498,0.0498,-0.0131,-0.0131
30,241,296,0.0316,"Igf1r","Pde4b","Plet1",0.3802,0.0823,0.1181,0.0498,0.0498,0.0182,0.0182
30,241,327,0.0492,"Igf1r","Pde4b","Kdm6a",0.3626,0.0647,0.3143,0.0498,0.0498,-0.000100000000000003,-0.000100000000000003
30,241,393,0.0383,"Igf1r","Pde4b","Prkca",0.3735,0.0756,0.2801,0.0498,0.0498,0.000199999999999999,0.000199999999999999
31,33,241,0.0494,"Insr","Slc30a4","Pde4b",0.3242,0.1218,0.0645,0.0498,0.0498,-0.0336,-0.0336
31,127,241,0.049,"Insr","Alcam","Pde4b",0.3246,0.2167,0.0649,0.0498,0.0498,0.0498,0.0498
31,241,296,0.0471,"Insr","Pde4b","Plet1",0.3265,0.0668,0.1026,0.0498,0.0498,0.00269999999999999,0.00269999999999999
33,34,241,0.013,"Slc30a4","Gata6","Pde4b",0.1582,0.3073,0.1009,0.0498,0.0028,0.0498,0.0028
33,35,241,0.0296,"Slc30a4","Apc","Pde4b",0.1416,0.3475,0.0843,0.0498,-0.0138,0.0498,-0.0138
33,36,241,0.0391,"Slc30a4","Nr2c2","Pde4b",0.1321,0.4151,0.0748,0.0498,-0.0233,0.0498,-0.0233
33,40,241,0.0311,"Slc30a4","Met","Pde4b",0.1401,0.4686,0.0828,0.0498,-0.0153,0.0498,-0.0153
33,42,241,0.0405,"Slc30a4","Cilk1","Pde4b",0.1307,0.2911,0.0734,0.0498,-0.0247,0.0498,-0.0247
33,43,241,0.0224,"Slc30a4","Tafazzin","Pde4b",0.1488,0.2889,0.0915,0.0498,-0.0066,0.0498,-0.0066
33,45,241,0.0139,"Slc30a4","Slc5a1","Pde4b",0.1573,0.342,0.1,0.0498,0.0019,0.0498,0.0019
33,46,241,0.0425,"Slc30a4","Tbrg1","Pde4b",0.1287,0.4515,0.0714,0.0498,-0.0267,0.0498,-0.0267
33,51,241,0.0179,"Slc30a4","Gadd45b","Pde4b",0.1533,0.4077,0.096,0.0498,-0.0021,0.0498,-0.0021
33,52,241,0.0468,"Slc30a4","Hspa8","Pde4b",0.1244,0.3659,0.0671,0.0498,-0.031,0.0498,-0.031
33,56,241,0.0218,"Slc30a4","Wt1","Pde4b",0.1494,0.433,0.0921,0.0498,-0.006,0.0498,-0.006
33,57,241,0.0153,"Slc30a4","Plcg1","Pde4b",0.1559,0.4235,0.0986,0.0498,0.000500000000000002,0.0498,0.000500000000000002
33,58,241,0.013,"Slc30a4","Il13ra1","Pde4b",0.1582,0.4223,0.1009,0.0498,0.0028,0.0498,0.0028
33,62,241,0.025,"Slc30a4","Atp5g3","Pde4b",0.1462,0.4028,0.0889,0.0498,-0.0092,0.0498,-0.0092
33,64,241,0.0355,"Slc30a4","Ywhah","Pde4b",0.1357,0.3932,0.0784,0.0498,-0.0197,0.0498,-0.0197
33,65,241,0.0081,"Slc30a4","Hdac2","Pde4b",0.1631,0.444,0.1058,0.0498,0.0077,0.0498,0.0077
33,66,241,0.0371,"Slc30a4","Tnfaip3","Pde4b",0.1341,0.3496,0.0768,0.0498,-0.0213,0.0498,-0.0213
33,67,241,0.0362,"Slc30a4","Nts","Pde4b",0.135,0.1897,0.0777,0.0498,-0.0204,0.0498,-0.0204
33,68,241,0.0352,"Slc30a4","P4ha1","Pde4b",0.136,0.285,0.0787,0.0498,-0.0194,0.0498,-0.0194
33,69,241,0.0402,"Slc30a4","Dcn","Pde4b",0.131,0.3952,0.0737,0.0498,-0.0244,0.0498,-0.0244
