"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
298,329,449,0.0477,"Ilf3","Cdkn1c","Top1",0.3909,0.0789,0.0815,0.0444,0.0444,0.0444,0.0444
314,329,449,0.0449,"Lpar6","Cdkn1c","Top1",0.2863,0.0817,0.0843,0.0444,0.0444,0.0444,0.0444
326,329,449,0.0478,"Foxa2","Cdkn1c","Top1",0.3303,0.0788,0.0814,0.0444,0.0444,0.0444,0.0444
329,334,449,0.0456,"Cdkn1c","Ormdl3","Top1",0.081,0.4211,0.0836,0.0444,0.0444,0.0444,0.0444
329,336,449,0.0497,"Cdkn1c","Hoxa9","Top1",0.0769,0.398,0.0795,0.0444,0.0444,0.0444,0.0444
329,339,449,0.0446,"Cdkn1c","Slc22a23","Top1",0.082,0.4221,0.0846,0.0444,0.0444,0.0444,0.0444
329,359,449,0.0473,"Cdkn1c","Car8","Top1",0.0793,0.3624,0.0819,0.0444,0.0444,0.0444,0.0444
329,392,449,0.047,"Cdkn1c","Ftl1","Top1",0.0796,0.3516,0.0822,0.0444,0.0444,0.0444,0.0444
329,424,449,0.0429,"Cdkn1c","Hopx","Top1",0.0837,0.3718,0.0863,0.0444,0.0444,0.0444,0.0444
329,449,454,0.0459,"Cdkn1c","Top1","Csf2rb",0.0807,0.0833,0.2677,0.0444,0.0444,0.0444,0.0444
353,377,449,0.0488,"Lats1","Hcar2","Top1",0.206,0.1522,0.0804,0.0444,0.0444,0.0444,0.0444
