"Gene.A.Number","Gene.B.Number","bresub","Gene.A.Name","Gene.B.Name","Delta-Gene.A","Delta-Gene.B","Min.Delta"
22,346,0.0914,"Ddr1","Rbpj",0.3723,0.0662,0.0662
205,346,0.0835,"Cat","Rbpj",0.2009,0.0741,0.0741
