"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
58,206,417,0.0475,"Il13ra1","Slc28a2","Birc2",0.2336,0.222,0.1147,0.0988,0.0255,0.0988,0.0255
58,385,417,0.0491,"Il13ra1","Krt8","Birc2",0.232,0.2034,0.1131,0.0988,0.0239,0.0142,0.0142
58,414,417,0.0498,"Il13ra1","Socs6","Birc2",0.2313,0.2312,0.1124,0.0988,0.0232,0.0988,0.0232
58,417,438,0.0482,"Il13ra1","Birc2","Gpx1",0.2329,0.114,0.206,0.0248,0.0988,0.0988,0.0248
62,385,417,0.0486,"Atp5g3","Krt8","Birc2",0.3091,0.2039,0.1136,0.0988,0.0988,0.0147,0.0147
256,261,385,0.0408,"P2rx4","Pdap1","Krt8",0.3412,0.2189,0.2117,0.0988,0.0988,0.0322,0.0322
385,417,454,0.0395,"Krt8","Birc2","Csf2rb",0.213,0.1227,0.2124,0.0238,0.0988,0.0988,0.0238
