"Gene.Number","bresub","Gene.Name"
215,0.3307,"Pag1"
216,0.3181,"Pck1"
217,0.3781,"Car1"
218,0.3426,"Car2"
219,0.3949,"Pik3ca"
220,0.5266,"Mecom"
221,0.5555,"Tnik"
222,0.2825,"Pld1"
223,0.4557,"Slc7a11"
224,0.4096,"Dclk1"
225,0.2851,"Nras"
226,0.4283,"Notch2"
227,0.4405,"Tpm3"
228,0.2783,"Slc35a3"
229,0.4667,"Ptgfr"
230,0.4102,"Gclm"
231,0.4158,"Nfkb1"
232,0.4667,"Wls"
233,0.3176,"Bcl10"
234,0.4506,"Map3k7"
235,0.5081,"Slc35a1"
236,0.3005,"Xpa"
237,0.3678,"Ptprd"
238,0.2833,"Slc44a1"
239,0.2721,"Plin2"
240,0.3709,"Slc35d1"
241,0.4682,"Pde4b"
242,0.4302,"Jak1"
243,0.4667,"Plaa"
244,0.4432,"Scp2"
245,0.4224,"Slc2a1"
246,0.4273,"Gnl2"
247,0.4658,"Sema3a"
248,0.4516,"Bst1"
249,0.45,"Prom1"
250,0.2875,"Dnajb6"
251,0.4429,"Ppargc1a"
252,0.4116,"Slc34a2"
253,0.6057,"Slc30a9"
254,0.4141,"Rest"
255,0.4575,"Fgf5"
256,0.382,"P2rx4"
257,0.3611,"Anxa3"
258,0.5134,"Ep400"
259,0.5376,"Foxp2"
260,0.3524,"Actb"
261,0.2597,"Pdap1"
262,0.4304,"Cdk8"
263,0.4667,"Cald1"
264,0.3309,"Foxp1"
265,0.5742,"Slc6a6"
266,0.4831,"Olr1"
267,0.3708,"Kdm5a"
268,0.4512,"Kras"
269,0.4607,"Atg7"
270,0.4607,"Scnn1a"
271,0.3823,"Cd9"
272,0.3826,"Tjp1"
273,0.4074,"Far1"
274,0.3108,"Aqp8"
275,0.5761,"Tgfb1i1"
276,0.5202,"Itgam"
277,0.3083,"Scnn1b"
278,0.3908,"Stim1"
279,0.3784,"Cask"
280,0.4391,"Slc35a2"
281,0.4239,"Efnb1"
282,0.5866,"Car5b"
283,0.3278,"Tsc22d3"
284,0.3473,"Tnfsf13b"
285,0.5223,"Polb"
286,0.3622,"Ikbkb"
287,0.4573,"Slit2"
288,0.3791,"Gsr"
289,0.5084,"Casp3"
290,0.4258,"Rbl2"
291,0.4504,"Aktip"
292,0.4543,"Il15"
293,0.3156,"Mt1"
294,0.3895,"Has3"
295,0.4667,"Egln1"
296,0.434,"Plet1"
297,0.4247,"Apoa1"
298,0.4784,"Ilf3"
299,0.3899,"Gcnt3"
300,0.4051,"Cgnl1"
301,0.4667,"Pkm"
302,0.3662,"Car12"
303,0.3284,"Slc25a36"
304,0.4236,"Ptgs2"
305,0.329,"Rpsa"
306,0.4785,"Slco2a1"
307,0.4667,"Gnai2"
