"Gene.Number","bresub","Gene.Name"
216,0.543,"Pck1"
217,0.3709,"Car1"
218,0.4777,"Car2"
219,0.4559,"Pik3ca"
220,0.5319,"Mecom"
221,0.5635,"Tnik"
222,0.4824,"Pld1"
223,0.3782,"Slc7a11"
224,0.4657,"Dclk1"
225,0.4104,"Nras"
226,0.4375,"Notch2"
227,0.5185,"Tpm3"
228,0.3299,"Slc35a3"
229,0.3686,"Ptgfr"
230,0.3817,"Gclm"
231,0.3567,"Nfkb1"
232,0.4626,"Wls"
233,0.4096,"Bcl10"
234,0.453,"Map3k7"
235,0.403,"Slc35a1"
236,0.4081,"Xpa"
237,0.4871,"Ptprd"
238,0.4093,"Slc44a1"
239,0.2739,"Plin2"
240,0.4731,"Slc35d1"
241,0.4043,"Pde4b"
242,0.4368,"Jak1"
243,0.4628,"Plaa"
244,0.4618,"Scp2"
245,0.5069,"Slc2a1"
246,0.4872,"Gnl2"
247,0.2743,"Sema3a"
248,0.3613,"Bst1"
249,0.2762,"Prom1"
250,0.4131,"Dnajb6"
251,0.3541,"Ppargc1a"
252,0.3948,"Slc34a2"
253,0.4471,"Slc30a9"
254,0.4987,"Rest"
255,0.2109,"Fgf5"
256,0.3943,"P2rx4"
257,0.4333,"Anxa3"
258,0.4506,"Ep400"
259,0.4337,"Foxp2"
260,0.427,"Actb"
261,0.3328,"Pdap1"
262,0.446,"Cdk8"
263,0.3762,"Cald1"
264,0.3862,"Foxp1"
265,0.525,"Slc6a6"
266,0.3906,"Olr1"
267,0.4903,"Kdm5a"
268,0.384,"Kras"
269,0.4603,"Atg7"
270,0.4632,"Scnn1a"
271,0.3974,"Cd9"
272,0.5147,"Tjp1"
273,0.3709,"Far1"
274,0.6168,"Aqp8"
275,0.3286,"Tgfb1i1"
276,0.4813,"Itgam"
277,0.3704,"Scnn1b"
278,0.4252,"Stim1"
279,0.4065,"Cask"
280,0.4191,"Slc35a2"
281,0.4591,"Efnb1"
282,0.4564,"Car5b"
283,0.4574,"Tsc22d3"
284,0.5705,"Tnfsf13b"
285,0.4069,"Polb"
286,0.4559,"Ikbkb"
287,0.4948,"Slit2"
288,0.4967,"Gsr"
289,0.4064,"Casp3"
290,0.4527,"Rbl2"
291,0.3982,"Aktip"
292,0.3525,"Il15"
293,0.3549,"Mt1"
294,0.5158,"Has3"
295,0.2751,"Egln1"
296,0.5387,"Plet1"
297,0.2813,"Apoa1"
298,0.4327,"Ilf3"
299,0.3291,"Gcnt3"
300,0.3384,"Cgnl1"
301,0.5154,"Pkm"
302,0.3012,"Car12"
303,0.4774,"Slc25a36"
304,0.395,"Ptgs2"
305,0.4562,"Rpsa"
306,0.3825,"Slco2a1"
307,0.4335,"Gnai2"
308,0.4534,"Nlrp3"
309,0.4409,"Acsl3"
310,0.4205,"Slc16a1"
311,0.3885,"Hspa13"
312,0.4731,"Foxj3"
313,0.3067,"Atg9a"
314,0.3668,"Lpar6"
315,0.2399,"Ctnnd1"
316,0.386,"Slc25a37"
317,0.3234,"Slc26a2"
