"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
83,93,238,0.074,"Apob","Top2a","Slc44a1",0.0405,0.2648,0.3353,0.0105,0.0997,0.0997,0.0105
83,93,263,0.0732,"Apob","Top2a","Cald1",0.0413,0.2656,0.303,0.0113,0.0997,0.0997,0.0113
83,93,266,0.073,"Apob","Top2a","Olr1",0.0415,0.2658,0.3176,0.0115,0.0997,0.0997,0.0115
83,93,273,0.0736,"Apob","Top2a","Far1",0.0409,0.2652,0.2973,0.0109,0.0997,0.0997,0.0109
83,93,281,0.0707,"Apob","Top2a","Efnb1",0.0438,0.2681,0.3884,0.0138,0.0997,0.0997,0.0138
83,93,283,0.0723,"Apob","Top2a","Tsc22d3",0.0422,0.2665,0.3851,0.0122,0.0997,0.0997,0.0122
83,93,286,0.0708,"Apob","Top2a","Ikbkb",0.0437,0.268,0.3851,0.0137,0.0997,0.0997,0.0137
83,93,292,0.0726,"Apob","Top2a","Il15",0.0419,0.2662,0.2799,0.0119,0.0997,0.0997,0.0119
83,93,298,0.0738,"Apob","Top2a","Ilf3",0.0407,0.265,0.3589,0.0107,0.0997,0.0997,0.0107
83,93,303,0.0735,"Apob","Top2a","Slc25a36",0.041,0.2653,0.4039,0.011,0.0997,0.0997,0.011
83,93,334,0.0747,"Apob","Top2a","Ormdl3",0.0398,0.2641,0.2979,0.0098,0.0997,0.0997,0.0098
83,93,336,0.0741,"Apob","Top2a","Hoxa9",0.0404,0.2647,0.3646,0.0104,0.0997,0.0997,0.0104
83,93,344,0.0739,"Apob","Top2a","Marchf6",0.0406,0.2649,0.3305,0.0106,0.0997,0.0997,0.0106
83,93,346,0.0737,"Apob","Top2a","Rbpj",0.0408,0.2651,0.2981,0.0108,0.0997,0.0997,0.0108
83,93,347,0.0746,"Apob","Top2a","Il18",0.0399,0.2642,0.2214,0.00990000000000001,0.0997,0.0997,0.00990000000000001
83,93,357,0.0748,"Apob","Top2a","Cept1",0.0397,0.264,0.3485,0.0097,0.0997,0.0997,0.0097
83,93,363,0.0733,"Apob","Top2a","Znrf3",0.0412,0.2655,0.3883,0.0112,0.0997,0.0997,0.0112
83,93,377,0.0734,"Apob","Top2a","Hcar2",0.0411,0.2654,0.2899,0.0111,0.0997,0.0997,0.0111
83,93,378,0.0737,"Apob","Top2a","Fpr1",0.0408,0.2651,0.4482,0.0108,0.0997,0.0997,0.0108
83,93,384,0.0658,"Apob","Top2a","Arhgap30",0.0487,0.273,0.4937,0.0187,0.027,0.0997,0.0187
83,93,395,0.0712,"Apob","Top2a","Cacna1c",0.0433,0.2676,0.1947,0.0133,0.0997,0.0997,0.0133
83,93,396,0.0721,"Apob","Top2a","Ywhag",0.0424,0.2667,0.2739,0.0124,0.0997,0.0997,0.0124
83,93,416,0.0719,"Apob","Top2a","Ptafr",0.0426,0.2669,0.3111,0.0126,0.0997,0.0997,0.0126
83,93,417,0.0736,"Apob","Top2a","Birc2",0.0409,0.2652,0.1655,0.0109,0.0997,0.0997,0.0109
83,93,422,0.0707,"Apob","Top2a","Thra",0.0438,0.2681,0.3659,0.0138,0.0997,0.0997,0.0138
83,93,434,0.071,"Apob","Top2a","Acadm",0.0435,0.2678,0.3744,0.0135,0.0997,0.0997,0.0135
83,93,435,0.073,"Apob","Top2a","Mapk3",0.0415,0.2658,0.3268,0.0115,0.0997,0.0997,0.0115
83,93,442,0.0688,"Apob","Top2a","Slc31a1",0.0457,0.27,0.3981,0.0157,0.0997,0.0997,0.0157
83,93,452,0.0726,"Apob","Top2a","Naip5",0.0419,0.2662,0.3464,0.0119,0.0997,0.0997,0.0119
83,93,453,0.059,"Apob","Top2a","Reg3b",0.0555,0.2798,0.3434,0.0255,0.0323,0.0997,0.0255
83,93,454,0.0739,"Apob","Top2a","Csf2rb",0.0406,0.2649,0.2362,0.0106,0.0997,0.0997,0.0106
83,93,459,0.074,"Apob","Top2a","Naip6",0.0405,0.2648,0.2694,0.0105,0.0997,0.0997,0.0105
83,107,229,0.075,"Apob","Pde4d","Ptgfr",0.0395,0.4293,0.2936,0.0997,0.0043,0.0997,0.0043
83,127,229,0.0723,"Apob","Alcam","Ptgfr",0.0422,0.3547,0.2963,0.0997,0.00699999999999999,0.0997,0.00699999999999999
83,134,229,0.0743,"Apob","Il10rb","Ptgfr",0.0402,0.3392,0.2943,0.0997,0.00499999999999999,0.0997,0.00499999999999999
83,135,229,0.0666,"Apob","Sod1","Ptgfr",0.0479,0.3722,0.302,0.0997,0.0127,0.0997,0.0127
83,141,229,0.0716,"Apob","Pla2g7","Ptgfr",0.0429,0.4255,0.297,0.0997,0.0077,0.0997,0.0077
83,145,229,0.0745,"Apob","Tff3","Ptgfr",0.04,0.2714,0.2941,0.0997,0.0048,0.0997,0.0048
83,146,229,0.0728,"Apob","Epas1","Ptgfr",0.0417,0.3983,0.2958,0.0997,0.00649999999999999,0.0997,0.00649999999999999
83,155,229,0.0715,"Apob","Nr3c1","Ptgfr",0.043,0.4005,0.2971,0.0997,0.0078,0.0997,0.0078
83,158,229,0.0747,"Apob","Ptpn2","Ptgfr",0.0398,0.3341,0.2939,0.0997,0.00459999999999999,0.0997,0.00459999999999999
83,163,229,0.0748,"Apob","Plcb3","Ptgfr",0.0397,0.4059,0.2938,0.0997,0.00449999999999999,0.0997,0.00449999999999999
83,164,229,0.0724,"Apob","Smc3","Ptgfr",0.0421,0.2397,0.2962,0.0997,0.00689999999999999,0.0997,0.00689999999999999
83,174,229,0.0747,"Apob","Sat1","Ptgfr",0.0398,0.3013,0.2939,0.0997,0.00459999999999999,0.0997,0.00459999999999999
83,175,229,0.0741,"Apob","Cdk2","Ptgfr",0.0404,0.3993,0.2945,0.0253,0.0052,0.0997,0.0052
83,176,229,0.0737,"Apob","Il23a","Ptgfr",0.0408,0.3493,0.2949,0.0997,0.00559999999999999,0.0997,0.00559999999999999
83,180,229,0.0745,"Apob","Itgb1","Ptgfr",0.04,0.4201,0.2941,0.0997,0.0048,0.0997,0.0048
83,181,229,0.0746,"Apob","Pard3","Ptgfr",0.0399,0.3959,0.294,0.0997,0.0047,0.0997,0.0047
83,185,229,0.073,"Apob","Lypla1","Ptgfr",0.0415,0.3656,0.2956,0.0997,0.0063,0.0997,0.0063
83,189,229,0.0737,"Apob","Slc9a2","Ptgfr",0.0408,0.4202,0.2949,0.0997,0.00559999999999999,0.0997,0.00559999999999999
83,192,229,0.0742,"Apob","Cxcr2","Ptgfr",0.0403,0.4122,0.2944,0.0997,0.00509999999999999,0.0997,0.00509999999999999
83,193,229,0.0717,"Apob","Atg16l1","Ptgfr",0.0428,0.3593,0.2969,0.0997,0.0076,0.0997,0.0076
83,196,229,0.0729,"Apob","Dbi","Ptgfr",0.0416,0.3902,0.2957,0.0997,0.00639999999999999,0.0997,0.00639999999999999
83,208,229,0.0747,"Apob","Chgb","Ptgfr",0.0398,0.3441,0.2939,0.025,0.00459999999999999,0.0997,0.00459999999999999
83,211,229,0.0748,"Apob","Bcl2l11","Ptgfr",0.0397,0.4301,0.2938,0.0997,0.00449999999999999,0.0997,0.00449999999999999
83,218,229,0.0727,"Apob","Car2","Ptgfr",0.0418,0.405,0.2959,0.0997,0.0066,0.0997,0.0066
83,224,229,0.0733,"Apob","Dclk1","Ptgfr",0.0412,0.3924,0.2953,0.0997,0.00599999999999999,0.0997,0.00599999999999999
83,226,229,0.0741,"Apob","Notch2","Ptgfr",0.0404,0.3634,0.2945,0.0997,0.0052,0.0997,0.0052
83,229,231,0.0739,"Apob","Ptgfr","Nfkb1",0.0406,0.2947,0.2828,0.0054,0.0997,0.0997,0.0054
83,229,238,0.0739,"Apob","Ptgfr","Slc44a1",0.0406,0.2947,0.3354,0.0054,0.0997,0.0997,0.0054
83,229,246,0.0722,"Apob","Ptgfr","Gnl2",0.0423,0.2964,0.415,0.0071,0.0997,0.0997,0.0071
83,229,247,0.0729,"Apob","Ptgfr","Sema3a",0.0416,0.2957,0.2014,0.00639999999999999,0.0997,0.0997,0.00639999999999999
83,229,253,0.0745,"Apob","Ptgfr","Slc30a9",0.04,0.2941,0.3726,0.0048,0.0997,0.0997,0.0048
83,229,256,0.0745,"Apob","Ptgfr","P2rx4",0.04,0.2941,0.3198,0.0048,0.0997,0.0997,0.0048
83,229,257,0.0745,"Apob","Ptgfr","Anxa3",0.04,0.2941,0.3588,0.0048,0.0997,0.0997,0.0048
83,229,263,0.0729,"Apob","Ptgfr","Cald1",0.0416,0.2957,0.3033,0.00639999999999999,0.0997,0.0997,0.00639999999999999
83,229,266,0.0723,"Apob","Ptgfr","Olr1",0.0422,0.2963,0.3183,0.00699999999999999,0.0997,0.0997,0.00699999999999999
83,229,271,0.0742,"Apob","Ptgfr","Cd9",0.0403,0.2944,0.3232,0.00509999999999999,0.0997,0.0997,0.00509999999999999
83,229,281,0.0741,"Apob","Ptgfr","Efnb1",0.0404,0.2945,0.385,0.0052,0.0997,0.0997,0.0052
83,229,286,0.073,"Apob","Ptgfr","Ikbkb",0.0415,0.2956,0.3829,0.0063,0.0997,0.0997,0.0063
83,229,292,0.0718,"Apob","Ptgfr","Il15",0.0427,0.2968,0.2807,0.00749999999999999,0.0997,0.0997,0.00749999999999999
83,229,295,0.0746,"Apob","Ptgfr","Egln1",0.0399,0.294,0.2005,0.0047,0.0997,0.0997,0.0047
83,229,300,0.0731,"Apob","Ptgfr","Cgnl1",0.0414,0.2955,0.2653,0.0062,0.0997,0.0997,0.0062
83,229,312,0.0749,"Apob","Ptgfr","Foxj3",0.0396,0.2937,0.3982,0.0044,0.0997,0.0997,0.0044
83,229,316,0.07,"Apob","Ptgfr","Slc25a37",0.0445,0.2986,0.316,0.00929999999999999,0.0997,0.0997,0.00929999999999999
83,229,319,0.0738,"Apob","Ptgfr","Becn1",0.0407,0.2948,0.422,0.00549999999999999,0.0997,0.0997,0.00549999999999999
83,229,325,0.0749,"Apob","Ptgfr","Cdc42ep3",0.0396,0.2937,0.3357,0.0044,0.0997,0.0997,0.0044
83,229,334,0.0727,"Apob","Ptgfr","Ormdl3",0.0418,0.2959,0.2999,0.0066,0.0997,0.0997,0.0066
83,229,336,0.0718,"Apob","Ptgfr","Hoxa9",0.0427,0.2968,0.3669,0.00749999999999999,0.0997,0.0997,0.00749999999999999
83,229,341,0.0738,"Apob","Ptgfr","Lpar1",0.0407,0.2948,0.3254,0.00549999999999999,0.0997,0.0997,0.00549999999999999
83,229,344,0.0728,"Apob","Ptgfr","Marchf6",0.0417,0.2958,0.3316,0.00649999999999999,0.0997,0.0997,0.00649999999999999
83,229,346,0.0727,"Apob","Ptgfr","Rbpj",0.0418,0.2959,0.2991,0.0066,0.0997,0.0997,0.0066
83,229,359,0.0721,"Apob","Ptgfr","Car8",0.0424,0.2965,0.4092,0.0072,0.0997,0.0997,0.0072
83,229,363,0.0699,"Apob","Ptgfr","Znrf3",0.0446,0.2987,0.3917,0.00939999999999999,0.0997,0.0997,0.00939999999999999
83,229,377,0.0709,"Apob","Ptgfr","Hcar2",0.0436,0.2977,0.2924,0.00839999999999999,0.0997,0.0997,0.00839999999999999
83,229,378,0.0692,"Apob","Ptgfr","Fpr1",0.0453,0.2994,0.4527,0.0101,0.0997,0.0997,0.0101
83,229,383,0.0732,"Apob","Ptgfr","Slc39a9",0.0413,0.2954,0.3696,0.00609999999999999,0.0997,0.0997,0.00609999999999999
83,229,384,0.0668,"Apob","Ptgfr","Arhgap30",0.0477,0.3018,0.4927,0.0125,0.026,0.0997,0.0125
83,229,407,0.0727,"Apob","Ptgfr","Adam10",0.0418,0.2959,0.4017,0.0066,0.0997,0.0997,0.0066
83,229,410,0.0724,"Apob","Ptgfr","Fut9",0.0421,0.2962,0.5044,0.00689999999999999,0.0997,0.0997,0.00689999999999999
83,229,416,0.0729,"Apob","Ptgfr","Ptafr",0.0416,0.2957,0.3101,0.00639999999999999,0.0997,0.0997,0.00639999999999999
83,229,437,0.074,"Apob","Ptgfr","Mapk1",0.0405,0.2946,0.3207,0.0053,0.0997,0.0997,0.0053
83,229,442,0.068,"Apob","Ptgfr","Slc31a1",0.0465,0.3006,0.3989,0.0113,0.0997,0.0997,0.0113
83,229,447,0.0734,"Apob","Ptgfr","Msi2",0.0411,0.2952,0.2753,0.00589999999999999,0.0997,0.0997,0.00589999999999999
83,229,450,0.0724,"Apob","Ptgfr","Ceacam20",0.0421,0.2962,0.3157,0.00689999999999999,0.0997,0.0997,0.00689999999999999
83,229,454,0.0725,"Apob","Ptgfr","Csf2rb",0.042,0.2961,0.2376,0.0068,0.0997,0.0997,0.0068
83,229,462,0.0741,"Apob","Ptgfr","Bcl2l2",0.0404,0.2945,0.347,0.0052,0.0997,0.0997,0.0052
