"Gene.Number","bresub","Gene.Name"
215,0.3115,"Pag1"
216,0.2714,"Pck1"
217,0.1484,"Car1"
218,0.2791,"Car2"
219,0.3182,"Pik3ca"
220,0.3182,"Mecom"
221,0.3584,"Tnik"
222,0.3195,"Pld1"
223,0.3415,"Slc7a11"
224,0.2713,"Dclk1"
225,0.3182,"Nras"
226,0.2393,"Notch2"
227,0.1571,"Tpm3"
228,0.3182,"Slc35a3"
229,0.2832,"Ptgfr"
230,0.268,"Gclm"
231,0.3182,"Nfkb1"
232,0.2445,"Wls"
233,0.307,"Bcl10"
234,0.3182,"Map3k7"
235,0.3076,"Slc35a1"
236,0.3019,"Xpa"
237,0.3144,"Ptprd"
238,0.3182,"Slc44a1"
239,0.3198,"Plin2"
240,0.3182,"Slc35d1"
241,0.335,"Pde4b"
242,0.3182,"Jak1"
243,0.2811,"Plaa"
244,0.3182,"Scp2"
245,0.2258,"Slc2a1"
246,0.3182,"Gnl2"
247,0.3182,"Sema3a"
248,0.2039,"Bst1"
249,0.3158,"Prom1"
250,0.3182,"Dnajb6"
251,0.2262,"Ppargc1a"
252,0.3116,"Slc34a2"
253,0.3182,"Slc30a9"
254,0.3173,"Rest"
255,0.3161,"Fgf5"
256,0.3171,"P2rx4"
257,0.3182,"Anxa3"
258,0.3182,"Ep400"
259,0.3404,"Foxp2"
260,0.1876,"Actb"
261,0.3152,"Pdap1"
262,0.2998,"Cdk8"
263,0.2975,"Cald1"
264,0.3182,"Foxp1"
265,0.3182,"Slc6a6"
266,0.3404,"Olr1"
267,0.3182,"Kdm5a"
268,0.2877,"Kras"
269,0.3385,"Atg7"
270,0.3172,"Scnn1a"
271,0.3182,"Cd9"
272,0.2468,"Tjp1"
273,0.3182,"Far1"
274,0.3182,"Aqp8"
275,0.3182,"Tgfb1i1"
276,0.3229,"Itgam"
277,0.3182,"Scnn1b"
278,0.2357,"Stim1"
279,0.3182,"Cask"
280,0.2467,"Slc35a2"
281,0.3182,"Efnb1"
282,0.3182,"Car5b"
283,0.3318,"Tsc22d3"
284,0.3182,"Tnfsf13b"
285,0.3182,"Polb"
286,0.2308,"Ikbkb"
287,0.2844,"Slit2"
288,0.3445,"Gsr"
289,0.3438,"Casp3"
290,0.3182,"Rbl2"
291,0.3182,"Aktip"
292,0.2695,"Il15"
293,0.3182,"Mt1"
294,0.3182,"Has3"
295,0.3181,"Egln1"
296,0.1352,"Plet1"
297,0.2633,"Apoa1"
298,0.3123,"Ilf3"
299,0.3497,"Gcnt3"
300,0.2339,"Cgnl1"
301,0.3152,"Pkm"
302,0.2954,"Car12"
303,0.2575,"Slc25a36"
304,0.3185,"Ptgs2"
305,0.3182,"Rpsa"
306,0.2945,"Slco2a1"
307,0.2392,"Gnai2"
308,0.3182,"Nlrp3"
309,0.2634,"Acsl3"
310,0.2239,"Slc16a1"
311,0.3183,"Hspa13"
312,0.3182,"Foxj3"
313,0.319,"Atg9a"
314,0.318,"Lpar6"
315,0.2573,"Ctnnd1"
316,0.2672,"Slc25a37"
317,0.319,"Slc26a2"
318,0.3182,"Map2k2"
319,0.3179,"Becn1"
320,0.2941,"Egln3"
321,0.2637,"Arhgap5"
322,0.2527,"Emsy"
323,0.3183,"Foxa1"
324,0.231,"Gadd45a"
325,0.3182,"Cdc42ep3"
326,0.321,"Foxa2"
327,0.3154,"Kdm6a"
328,0.2501,"Muc3"
329,0.0882,"Cdkn1c"
330,0.3182,"Atp8a1"
331,0.3181,"Cd81"
332,0.2434,"Ctnna1"
333,0.3182,"Aim2"
334,0.3182,"Ormdl3"
335,0.2442,"Slc43a2"
336,0.3182,"Hoxa9"
