"Gene.Number","bresub","Gene.Name"
215,0.4655,"Pag1"
216,0.3266,"Pck1"
217,0.1607,"Car1"
218,0.3837,"Car2"
219,0.5033,"Pik3ca"
220,0.4496,"Mecom"
221,0.5153,"Tnik"
222,0.2503,"Pld1"
223,0.2402,"Slc7a11"
224,0.4054,"Dclk1"
225,0.4238,"Nras"
226,0.2807,"Notch2"
227,0.2911,"Tpm3"
228,0.4174,"Slc35a3"
229,0.4037,"Ptgfr"
230,0.3165,"Gclm"
231,0.4659,"Nfkb1"
232,0.3067,"Wls"
233,0.3791,"Bcl10"
234,0.5942,"Map3k7"
235,0.4351,"Slc35a1"
236,0.3046,"Xpa"
237,0.384,"Ptprd"
238,0.4084,"Slc44a1"
239,0.517,"Plin2"
240,0.5529,"Slc35d1"
241,0.2153,"Pde4b"
242,0.3978,"Jak1"
243,0.373,"Plaa"
244,0.298,"Scp2"
245,0.2207,"Slc2a1"
246,0.4595,"Gnl2"
247,0.3704,"Sema3a"
248,0.3351,"Bst1"
249,0.3325,"Prom1"
250,0.3813,"Dnajb6"
251,0.3339,"Ppargc1a"
252,0.4042,"Slc34a2"
253,0.5195,"Slc30a9"
254,0.4344,"Rest"
255,0.3666,"Fgf5"
256,0.4263,"P2rx4"
257,0.4015,"Anxa3"
258,0.3978,"Ep400"
259,0.4625,"Foxp2"
260,0.1988,"Actb"
261,0.272,"Pdap1"
262,0.44,"Cdk8"
263,0.2934,"Cald1"
264,0.5221,"Foxp1"
265,0.4667,"Slc6a6"
266,0.2836,"Olr1"
267,0.4305,"Kdm5a"
268,0.4109,"Kras"
269,0.4081,"Atg7"
270,0.4422,"Scnn1a"
271,0.4135,"Cd9"
272,0.2771,"Tjp1"
273,0.51,"Far1"
274,0.359,"Aqp8"
275,0.4667,"Tgfb1i1"
276,0.2638,"Itgam"
277,0.4667,"Scnn1b"
278,0.3113,"Stim1"
279,0.5281,"Cask"
280,0.3789,"Slc35a2"
281,0.4667,"Efnb1"
282,0.5432,"Car5b"
283,0.2203,"Tsc22d3"
284,0.4534,"Tnfsf13b"
285,0.4667,"Polb"
286,0.3773,"Ikbkb"
287,0.3677,"Slit2"
288,0.2442,"Gsr"
289,0.4338,"Casp3"
290,0.4667,"Rbl2"
291,0.4658,"Aktip"
292,0.4451,"Il15"
293,0.4425,"Mt1"
294,0.3917,"Has3"
295,0.3623,"Egln1"
296,0.1951,"Plet1"
297,0.3209,"Apoa1"
298,0.4386,"Ilf3"
299,0.3611,"Gcnt3"
300,0.2651,"Cgnl1"
301,0.424,"Pkm"
302,0.3816,"Car12"
303,0.341,"Slc25a36"
304,0.2268,"Ptgs2"
305,0.4214,"Rpsa"
306,0.2588,"Slco2a1"
307,0.197,"Gnai2"
308,0.4277,"Nlrp3"
309,0.2903,"Acsl3"
310,0.3365,"Slc16a1"
311,0.43,"Hspa13"
312,0.5345,"Foxj3"
313,0.3826,"Atg9a"
314,0.3312,"Lpar6"
315,0.2478,"Ctnnd1"
316,0.3239,"Slc25a37"
317,0.433,"Slc26a2"
318,0.4216,"Map2k2"
319,0.381,"Becn1"
320,0.3139,"Egln3"
321,0.3388,"Arhgap5"
322,0.2683,"Emsy"
323,0.3478,"Foxa1"
324,0.3192,"Gadd45a"
325,0.481,"Cdc42ep3"
326,0.3781,"Foxa2"
327,0.4318,"Kdm6a"
328,0.31,"Muc3"
329,0.1266,"Cdkn1c"
330,0.4796,"Atp8a1"
331,0.4224,"Cd81"
332,0.3122,"Ctnna1"
333,0.477,"Aim2"
334,0.4667,"Ormdl3"
335,0.2851,"Slc43a2"
336,0.4477,"Hoxa9"
337,0.2697,"F11r"
338,0.4349,"Hoxa5"
339,0.4667,"Slc22a23"
340,0.4484,"Nfe2l1"
341,0.2094,"Lpar1"
342,0.4475,"Nlrp6"
343,0.4628,"Irs2"
344,0.4434,"Marchf6"
345,0.4015,"Camk1d"
346,0.4066,"Rbpj"
347,0.374,"Il18"
348,0.4082,"Tgfb2"
349,0.1998,"Prss23"
350,0.461,"Ncam1"
351,0.5328,"Ptger4"
352,0.4667,"Hip1"
353,0.2548,"Lats1"
354,0.3535,"Thbs1"
355,0.4768,"Cdk6"
356,0.3126,"Abcb1a"
357,0.4326,"Cept1"
358,0.3458,"Foxa3"
359,0.4097,"Car8"
360,0.4196,"Pik3r1"
361,0.44,"Irf8"
362,0.4305,"Il17f"
363,0.481,"Znrf3"
364,0.4444,"Agps"
365,0.3313,"Mgat3"
366,0.2536,"Hoxd11"
367,0.2821,"Mapk6"
368,0.388,"Id1"
369,0.2004,"Flt3"
370,0.4284,"Ptpn11"
371,0.2144,"Foxo1"
372,0.1215,"Dsg2"
373,0.4409,"Tlr7"
374,0.5934,"Fzd1"
375,0.454,"Prkce"
376,0.2974,"Epcam"
377,0.201,"Hcar2"
378,0.3474,"Fpr1"
379,0.5144,"Cd24a"
380,0.404,"Zbtb33"
381,0.4667,"Nrip1"
382,0.4667,"Foxo3"
383,0.4667,"Slc39a9"
384,0.414,"Arhgap30"
385,0.4257,"Krt8"
386,0.3973,"Hoxb13"
387,0.3942,"Slc17a5"
388,0.4971,"Gja8"
389,0.4202,"Lgr4"
390,0.4667,"Foxc1"
391,0.3548,"Lgals3"
392,0.3986,"Ftl1"
393,0.4488,"Prkca"
394,0.3379,"Ffar2"
395,0.3679,"Cacna1c"
396,0.3987,"Ywhag"
397,0.4598,"Ttn"
398,0.2592,"Jun"
399,0.4485,"Prkcb"
400,0.4963,"Tcf4"
401,0.2953,"Lifr"
402,0.4125,"Rhob"
403,0.2751,"Ceacam2"
404,0.4364,"Slfn5"
405,0.3057,"Slc30a7"
406,0.3627,"Tle5"
407,0.3257,"Adam10"
408,0.4857,"Ddx17"
409,0.3815,"Foxd2"
410,0.4126,"Fut9"
411,0.4962,"Cldn23"
412,0.2225,"S100a8"
413,0.2293,"S100a9"
414,0.5429,"Socs6"
415,0.2122,"Cebpb"
416,0.4461,"Ptafr"
417,0.3814,"Birc2"
418,0.4667,"Mab21l2"
419,0.3767,"Trim31"
420,0.336,"Nfam1"
421,0.3241,"Tspan7"
422,0.3659,"Thra"
423,0.5557,"Septin9"
424,0.4147,"Hopx"
425,0.4146,"Max"
426,0.3129,"Ptk2b"
427,0.5066,"Tpt1"
428,0.4253,"Slc4a4"
429,0.4006,"Maml3"
430,0.3105,"Dot1l"
431,0.4724,"Slc25a3"
432,0.4201,"Erbb2"
433,0.3682,"Actg1"
434,0.4018,"Acadm"
435,0.4756,"Mapk3"
436,0.394,"Ldha"
437,0.3662,"Mapk1"
438,0.294,"Gpx1"
439,0.4775,"Nr6a1"
440,0.358,"mt-Co1"
441,0.482,"mt-Co3"
442,0.326,"Slc31a1"
443,0.4814,"Bmpr2"
444,0.2892,"Afdn"
445,0.148,"Duox2"
446,0.2411,"Cgn"
447,0.3822,"Msi2"
448,0.32,"Ccnd1"
449,0.1292,"Top1"
450,0.4319,"Ceacam20"
451,0.4667,"Ptges3"
452,0.4773,"Naip5"
453,0.4019,"Reg3b"
454,0.3136,"Csf2rb"
455,0.4028,"Cdkn2b"
456,0.3405,"Ccl28"
457,0.3757,"Selenos"
458,0.3988,"Psme2b"
459,0.4459,"Naip6"
460,0.2253,"Naip2"
461,0.3817,"Naip3"
462,0.3758,"Bcl2l2"
463,0.3485,"Slc5a3"
464,0.4437,"Kctd12"
