"Gene.A.Number","Gene.B.Number","bresub","Gene.A.Name","Gene.B.Name","Delta-Gene.A","Delta-Gene.B","Min.Delta"
218,255,0.2375,"Car2","Fgf5",0.0632,0.0948,0.0632
227,255,0.2334,"Tpm3","Fgf5",0.1337,0.0989,0.0989
230,255,0.2265,"Gclm","Fgf5",0.0826,0.1058,0.0826
230,297,0.2423,"Gclm","Apoa1",0.0668,0.0486,0.0486
230,353,0.2454,"Gclm","Lats1",0.0637,0.0221,0.0221
230,388,0.2326,"Gclm","Gja8",0.0765,0.2113,0.0765
230,399,0.2382,"Gclm","Prkcb",0.0709,0.0882,0.0709
235,364,0.2423,"Slc35a1","Agps",0.1463,0.0885,0.0885
247,283,0.2372,"Sema3a","Tsc22d3",0.029,0.1256,0.029
247,347,0.2411,"Sema3a","Il18",0.0251,0.0979,0.0251
247,386,0.2277,"Sema3a","Hoxb13",0.0385,0.0742,0.0385
247,406,0.2372,"Sema3a","Tle5",0.029,0.0838,0.029
247,409,0.2368,"Sema3a","Foxd2",0.0294,0.0225,0.0225
248,353,0.2273,"Bst1","Lats1",0.1464,0.0402,0.0402
248,388,0.2423,"Bst1","Gja8",0.1314,0.2016,0.1314
255,276,0.2394,"Fgf5","Itgam",0.0929,0.1349,0.0929
255,286,0.2388,"Fgf5","Ikbkb",0.0935,0.1351,0.0935
255,295,0.2062,"Fgf5","Egln1",0.1261,0.1273,0.1261
255,308,0.2185,"Fgf5","Nlrp3",0.1138,0.1138,0.1138
255,316,0.2361,"Fgf5","Slc25a37",0.0962,0.0518,0.0518
255,354,0.2264,"Fgf5","Thbs1",0.1059,0.1161,0.1059
255,378,0.2156,"Fgf5","Fpr1",0.1167,0.1593,0.1167
255,384,0.2214,"Fgf5","Arhgap30",0.1109,0.1103,0.1103
255,399,0.2408,"Fgf5","Prkcb",0.0915,0.0856,0.0856
255,404,0.224,"Fgf5","Slfn5",0.1083,0.1649,0.1083
255,420,0.2224,"Fgf5","Nfam1",0.1099,0.1424,0.1099
255,449,0.2267,"Fgf5","Top1",0.1056,0.3249,0.1056
275,297,0.2065,"Tgfb1i1","Apoa1",0.1364,0.0844,0.0844
275,409,0.2457,"Tgfb1i1","Foxd2",0.0972,0.0136,0.0136
297,386,0.2479,"Apoa1","Hoxb13",0.043,0.054,0.043
299,395,0.2455,"Gcnt3","Cacna1c",0.0582,0.079,0.0582
305,364,0.2249,"Rpsa","Agps",0.1207,0.1059,0.1059
316,322,0.2466,"Slc25a37","Emsy",0.0413,0.1511,0.0413
317,395,0.2481,"Slc26a2","Cacna1c",0.0723,0.0764,0.0723
324,364,0.2417,"Gadd45a","Agps",0.1275,0.0891,0.0891
353,399,0.2282,"Lats1","Prkcb",0.0393,0.0982,0.0393
353,404,0.2433,"Lats1","Slfn5",0.0242,0.1456,0.0242
353,420,0.2167,"Lats1","Nfam1",0.0508,0.1481,0.0508
353,438,0.2285,"Lats1","Gpx1",0.039,0.1324,0.039
353,448,0.2331,"Lats1","Ccnd1",0.0344,0.1208,0.0344
364,438,0.2387,"Agps","Gpx1",0.0921,0.1222,0.0921
364,448,0.2312,"Agps","Ccnd1",0.0996,0.1227,0.0996
386,431,0.2411,"Hoxb13","Slc25a3",0.0608,0.154,0.0608
386,448,0.2414,"Hoxb13","Ccnd1",0.0605,0.1125,0.0605
395,409,0.2263,"Cacna1c","Foxd2",0.0982,0.033,0.033
409,418,0.238,"Foxd2","Mab21l2",0.0213,0.1083,0.0213
409,438,0.2395,"Foxd2","Gpx1",0.0198,0.1214,0.0198
409,448,0.2402,"Foxd2","Ccnd1",0.0191,0.1137,0.0191
